,Text
177,"hiếu vg không kì thị bê đê đâu yên tâm ' ,"
178,"câu hỏi đặt ra là liệu 1 người phụ nữ giỏi có chấp nhận lấy 1 người đàn ông nấu ăn ngon , hiểu chuyện , dọn dẹp nhà cửa sạch , . không "
179,ủa . htl giờ gu nó khác rồi à
180,"quá hay  vid rất có ý nghĩa 殺 , nhưng mình nghĩ là do chắc ba mẹ sợ con mình yêu đồng tính là không sinh được con cái nên mới lo vậy thôi chứ thật sự yêu"
181,tao thấy nặt cũ đẹp hơn khi trong phòng tắm
182,thần tượng của tui sao zậy nè
183,idol của em bị kì thị cái số 2 ạ梁
184,"mấy lồn gay chỉ muốn bị đút đít thôi , nói thì tụi nó như chó bị đạp đuôi"
185,cặp đôi gây bão nè
186,hỏi con trai bà á
187,hay lắm chị
188,mẹ bắt tôi xách đồ em tôi tay không mẹ bảo : bọn mày chỉ là lữ vịt giời thôi梁
189,anh thành dan truog trình hấp dẫn và hay.cam ơn anh thành và cảm ơn tai trợ đa đưa anh thành dan
190,trai cug yêu . gái cug yêu . chưa hiểu là thể loại người gì
191,nhưng mà lúc đó chưa chắc nó đẻ con anh mà 梁
192,bisexual là thík cả trai lẫn gái hả
193,"mày cũng từng tổn thương khi bố mẹ nhất quyết sinh thêm em trai , nhưng khi nhìn thấy niềm hp trên mặt bố mày cảm thấy mày chịu đựng 1 chút là được . sau khi"
194,"không biết li do gì mà phát ngoin chuyện người khác , nhưng những phát ngôn này nó có 1 phần nào cũng gọi là đúng"
195,độc lạ tình yêu : )
196,bà khánh chi nhìn mặt kiểu không muốn tiếp chuyện với bạn này . bà này chỉ kiểu thích con trai thành gái sao á trời
197,năm nay tôi 28 tuổi nhưng càng lớn tôi càng hiểu rõ gánh nặng khi lập gia đình vì vậy tôi thực sự không giám lấy vợ cho dù rất muốn
198,ai rảnh đâu kì thị.chẳng qua do bọn nó làm gì nên người ta ghét thôi .
199,tôi là anh trai và chính mắt tôi đã thấy em gái ôm hôn một đứa cgai mà tôi cứ tg cno là bạn thân . bé kia hay đến nhà lên phòng vì tg là đến học nhóm nên không ai qtam sâu . tôi cũng đang giữ cái bí mật này mà kb đhs
200,bạn khá đấy
201,anh ơi tại sao phụ nữ khi ở trần lại bị xem là phản cảm ở rất nhiều nơi trên thế giới ạ
202,"theo mình thì bình đẳng giới về quyền và nghĩa vụ như là có quyền đi học , có quyền làm chủ gia đình , có quyền này kia các thứ , còn về thể lực là khác"
203,má bingo = ) tui thấy tui còn gai mắt mấy bà như vậy
204,"mấy má cứ nói kinh thánh kinh thánh trong khu cầu vong trong kinh thánh là 7 màu nhưng bả chỉ chia sẻ có 6 màu , kinh kiểu gì ?"
205,u mê bà này ghê 來
206,anh nói rất đúng 殺
207,mùa này quá hay ! xuất sắc
208,lấy chồng thôi ak
209,"ủa nhưng mà vụ đó kanhy sống lỗi mà phải 0 ' ,"
210,"@ ✨ @ 謁 hợp ghê , hợp đồng tạm thời掠"
211,ủa đứa nào mời.đứa đó trả chứ mấy ba 
212,bà chúa biện hộ
213,chơi vậy chơi mình đi má ai rảnh đâu mà chơi 梁
214,tui bị quài á
215,ngay lúc đầu nếu thấy người ta vậy thì đừng lấy nhau .
216,"như nhau thôi ' ,"
217,"ở đây có bán đồ xinh ạa ' ,"
218,ai mà làm vợ anh này được ăn ngon suốt nhỉ 藍
219,lên đây come out rồi khi nào có vợ
220,lgbt là gì vậy tôi hok hiểu lắm= )
221,"đổ xăng lên người bỏng 90% mà lại còn trước mặt mày . không thấy có lỗi à . lại còn chúc có hp mới mà có thế lol nào được ạ nó bỏng sẹo cả người nthe ' ,"
222,bớt toxic đi mấy anh trai 嵐
223,9% trẻ con đang xem cái này : (
224,không bít mày.n sao nhưng nếu mình là mình bật lại ngay : vậy
225,gil lê nó trước quen chipu mà
226,dth
227,sớm thế
228,hiện tại mình vẫn đang bị áp lực từ mẹ 梁
229,"ai dám kì thị mình vậy ' ,"
230,nhà tui trọng nữ khinh nam ạ
231,chắc làm mc mãi mà không ai biết đấy ạ ! sống sai quá anh ôi
232,"hôm mih đẻ có ci đẻ bé thứ 5 là gái , chồg đưa đến bệh viện rồi về , sih xog không ai bế con cho , gọi mãi mẹ chồg già lóc ngóc tới viện bế cháu thở dài"
233,loạn hết 
234,dễ thương wá hà ❤️李
235,nhạc hay
236,"con gái lấy chồng thì phải theo chồng , không thì vứt"
237,nay có người ấy là ai hả
238,trời ui . hoá ra là ông này . tui không nhận ra luôn
239,nói liên tha liên thiên
240,miền nam ơi làm cái giọng đầu video như thế nào nhỉ
241,"có mỗi 1 ngày thống nhất đất nước , 1 ngày thương binh liệt sĩ , một ngày cho thầy cô , một ngày cho bố mẹ và 1 ngày tôn vinh phụ nữ mà lgbt có hẳn 1 tháng cơ à : )"
242,chị ơi bảo trọng nha họ đông lắm 
243,chả ai thời đại này mà vẫn nói chuyện kiểu này đâu . mà nếu có thì nó đã là một người quá cổ hủ rồi . nếu thực sự bạn thấy bản thân đủ khả năng đòi lại
244,"chả làm l ưu tiên người già vì họ là ngưởi yếu thế , ưu tiên người già vì sau này mình cũng già thôi ,"
245,từng bị thầy coi nói vậy
246,"mjk thụ , bị một bạn thụ 2k6 lăng mạ , bị một anh 2k1 gạ cho xem , bị một chú 8x gạ , và trc đó cũng rất nhiều . giới mjk ngoài vc họ kì thị ra , ."
247,với mày ngay em bé đầu tiên mày cũng đi sinh nở 1 mình
248,"hất thẳng mâm cơm vào mặt cơ ' ,"
249,nói đúng mà
250,nc thay thương qua ah
251,rất nhanh rất nguy hiểm
252,"sao mình không hiểu . cứ nghĩ bot là con gái , kêu chị em với nhau ? . ủa sao gay là 2 người con trai yêu nhau mà , . rồi hèn chi mấy thằng trai thẳng gặp"
253,ai anti chả được mỗi người có mỗi sở thích khác nha mong ghim
254,fen kìa 
255,"bà hàng xóm check cam thấy chủ thớt với con gái gụ của bả hun nhao be like : ' ,"
256,mình là phụ nữ mình đồng tình với quan điểm của bạn này
257,"ủng hộ anh ' ,"
258,tiền tiền tiền
259,"nói ra được câu đấy thì bảo sao họ không mất niềm tin ' ,"
260,"con trai bây giờ đã có thể mang thai rồi nhé , chủ yếu là ông có chịu không thôi , khoa học cả đấy"
261,tao để ý cái kính hiển vi hoi
262,em thích cả trai lẫn con gái thì gọi là gì嵐
263,mẹ tao cho nè 梁
264,bố mình con trưởng ! đẻ 2 gái ! nhưng lại quyết tâm triệt sản ! vì muốn cho các con được đầy đủ hơn là cố đẻ zai xong nghèo 
265,tôi đag định mua con gấu nha : )
266,manga đam mỹ nhật bản đỉnh lắm
267,"ba mình không kì thị , nhưng không chấp nhận được vc con mình là lgbt . ^"
268,"lũ ngu thì thường cắn dai của nhau ' ,"
269,vào trường báo cho zui
270,phụ nữ xưa giỏi vãi luôn . quê tui thế hệ trước 10 người giàu nhất tp thì pn hết 7 người . quê tui thế hệ 9x trở đi thấy pn thua xa thế hệ trước . không thấy ai nổi trội luôn .
271,khóc vì những thứ đáng để khóc
272,"vẫn chơi với gay les các kiểu biết nhưng đhs thỉnh thoảng lại có mấy ông gay tán , bộ các bố ý nghĩ trai thẳng bẻ cong được thật hả ' ,"
273,thật sự rất buồn cho thân phận con gái 
274,xin vía gia đình chấp nhận anh
275,tôi nhìn cái đó là tôi xỉu liền
276,"tập nào 2 đứa nó ăn kèm tôi xem ' ,"
277,chưa được thế giới coi nhận
278,nói thật lgbtq + toàn mấy người có dục vọng = )
279,"trường mình không có như thế đâu , thầy cô thường tâm sự với mấy bạn đó á , dễ thương lắm殺"
280,mày 26t làm tháng 50-70 tr mà vẫn áp lực chi tiêu gia đình con cái . không biết lúc nào mới mua được nhà hn .
281,"mấy người kì thị trong bình luận oi , cố lên sắp ngầu rồi đó "
282," thích tun phạm nói chuyện , bạn ấy chia sẽ nhiều vấn đề rất thực tế mà kiểu như mình không biết trình bày như thế nào ."
283,helo
284,mình và người ấy quen nhau gần 7 năm . và mình đã chọn cách dừng lại . vì không muốn người ta phải buồn khi nghe những lời cay đắng đó từ người thân gia đình mìh
285,nhỏ bạn thân yew kao : )
286,hết nói nổi
287,"phụ nữ cũng áp lực kte , sinh con , chăm lo gia đình mà ."
288,"unti của các bạn nữ khi sắp thua : "" ừ em sai , anh đâu có hiểu cho em nào là phải tới tháng , phải đi đẻ , phải làm dâu , . """
289,"đinh đang nguyen vu tuong anh có phúc là có bede ' ,"
290,đm cái thằng đàn bà
291,đàn ông nên thay đổi tư duy của mình . yêu thương phụ nữ nhiều hơn
292,"mất cân bằng giới tính . ap lưc cuộc sống cộng xã hội đối xử bất công . sẽ xẩy ra tình trạng nam sống như cư sĩ ( kg đủ điều kiên lo cho cuộc sống hôn nhân nên từ chối kết hôn ) nữ sống như ẩn sĩ , ( mặc cảm về bản thân căng thẳn về vật chất , từ chối hôn … xem thêm ' ,"
293,kh come out là cũng kh ai nghi ngờ cái giới tính của ổng luôn đó . từ tướng tá tới giọng nói men quá trời
294,. 91 áp lực vcl
295,thương 殺
296,thì người ta không chấp nhận thoi
297,"còn menly ? không biết là toxic masculinity hay … xem thêm ' ,"
298,"đấy , chúng mày tag mấy con méo mèo meo vô duyên nhất Việt Nam vào cho n đỡ thắc mắc nè"
299,ủa hay sắp ra sản phẩm để lấn sân showbiz
300,bạn này nói chuyện rất lễ phép
301,không nói nhiều trời sinh một cặp xứng đôi vừa lứa lắm rồi 
302,cho mình xin bài nhạc
303,xem sớm nè anh 梁
304,không cần phải có vai chồng
305,flow rất phóng khoáng : )
306,"ủng hộ nam quyền , kì thị mấy thằng gay lọ"
307,"à địt mẹ chúng nó dạo này xem mấy cái clip trên facebook chúng nó cò quảng cáo phong trào 7 màu nữa , địt mẹ tụi tởm lợm"
308,lgbt và hủ muôn năm
309,"mình anh bên những chất chứa chưa một lần nói … xem thêm ' ,"
310,tui là dân lgbt
311,cho hỏi lgbt là gi vậy
312,đọc bình luận đi bồ= ) thất vọng qa
313,ghét nhất thể loại thằng đàn bà
314,ông mc đó giờ thành nổi tiếng rồi  thằng lạy luôn nếu không nhìn không biết ông này luôn
315,mày đừng ưỡn ẹo hộ tao được không
316,thầy đó súc phạm quá à 梁
317,cố lên bạn
318,tôi muốn qua nhật
319,muốn mặc váy ấy mà
320,"ok tao sẽ 0 miệt thị đạt tiến nữa ' ,"
321,nói không phải ki thi chứ không thik những người như này họ rất dễ thay lòng
322,nhìn bạn xinh quá giống y hệt con gái không giống con trai chút xíu nào
323,snv nha
324,làm nam hát là người ta không thích hả mọi người
325,người lgbt đang tạo cơ hội cho straight đấy
326,"mấy thằng đần khi kbt đây là content kiểu ' ,"
327,ny chao cuốn quá襤
328,"nhiều khi ra đường thấy buê đuê còn chơi đẹp và tử tế hơn nhiều thằng "" đàn ông "" nữa bây ơi ' ,"
329,nếu bây giờ tui nói trong nhà tui đang trọng nam khinh nữ bạn có tin không
330,trong đây có ai độc thân không à em ế quá đi 
331,khoa tự nhiên nhớ ông nhân với bà hương ghê
332,giờ đầy đứa gay hay lgbt đú bẩn
333,khổ từ trong bụng mẹ zoi
334,@ : d u la troi
335,dăm 3 ngày lễ có cũng được không có cũng được đối với tôi những thứ đó chẳng quan trọng 
336,nghe đồn xỉn không qh được ah . why ?
337,em gái ông kiến đk
338,vậy em vừa thik nữ vừa thik nam thì sao ạ mong nm giải đáp thắc mắc
339,con les thì không biết cách nấu ăn
340,mình không kì thị lgbt
341,thôi mấy bạn nam còn tranh cãi vđ này toàn mấy bạn suy nghĩ còn non trẻ . tốt nhất nên kệ và chọn người sẵn sàng chăm lo được cho mình các bạn nữ ạ .
342,"tui có em trai , nhưng mẹ tui vẫn gửi gắm là lúc mẹ tạ thế mẹ muốn tui làm theo nguyện vọng của mẹ ."
343,mc này nên bị tẩy chay là vừa .
344,có ai coi hậu trường ch ạ= )
345,quá hay 
346,"ủa không cần thì thôi chứ có gì đâu , người ta không cần chứ có nói thế giới không cần đâu hơn nữa đây rõ ràng nói về vđ lập gia đình , là nữ quyền dữ chưa ?"
347,ông chồng nào cũng muốn vợ đẹp con ngoan . ông nào cũng muốn vợ làm nhàn không vất vả . muốn bình luận dài mà giới hạn chữ ngắn quá
348,coa tiền nói gì cũng được không có tiền thì ngược lại
349,ý fen
350,"bị bệnh về đồng tính thì đi tìm bác sĩ mà chữa , chứ ở đây làm gì ?"
351,bé bot này zăm quá
352,tự nói tự áp đặt rồi bảo làm “ còn ten ”
353,chuẩn em
354,"mai mắn vì sinh ra ở Việt Nam . dù có định kiến nhưng không quá khắc khe như vậy . bame vẫn chấp nhận sự thật con mình là đồng tính và cho con sống csong mà bản thân muốn ' ,"
355,"list những idol mình anti xuất hiện trong video , mong mng tẩy chay mấy chế này càng sớm càng tốt : nayeon , jenie , irene , jang wonyoung , chu . đặc biệt là jang wonyoung mong mng cẩn thận ' ,"
356,vỡ mộng rồi . đang mơ đến giải 7 thỳ chợt tỉnh giấc . chaos không phải của mình nữa rồi : (
357,"muốn không áp lực thì chia sẻ cv nhà thế là cả 2 đều vui vẻ đi làm và vui vẻ chia sẻ cv nhà , từ đó cả 2 đều kiếm ra tiền"
358,"xong rồi con của ổng bị trượt c3 rồi tôi đỗ đh đây ' ,"
359,lúc đẻ lúc trông con lúc phục vụ nhà chồng sao không thấy ông nào nhận
360,ủa này thanh duy hả vậy mà bữa tưởng thu minh không á : )
361,"con gái : "" vậy anh thử đẻ xem "" con trai : "" vậy mày thử cảm giác bị đá vô 2 quả bóng đi "" : vậy"
362,"video như này mà flop , còn mấy video nhảm lại xã hội "
363,nhớ con gấu mèo tự nhiên chuyển động : )
364,"ủa sao ngu vậy ta , lấy phải thằng đồng tính không thích thì li hôn chứ việc gì phải tự sát , cha mẹ nuôi khôn lớn rất vất vả mà vì thằng đồng tính mà chết thì hài vãi"
365,giống bạn múi trên facbok
366,come out là gì
367,nghe kể thấy thương quá
368,má con gái sang trai mà mặt bự dữ 殺
369,xem mà thấy tức anh ách
370,mẹ mình ủng hộ nek
371,chỉ ptm thôi hay là pt chuyển đổi luôn
372,"ly hôn chưa chắc do có mối ngon hơn đâu , vì chồng nó không giúp việc nhà , không chăm con , cũng không kiếm tiền về lại không mang về tình cảm . đàn ông nên học cách"
373,chuẩn luôn 殺
374,hổm thấy video nào bà vợ trẻ lắm mà
375,không sao đâu anh hãy mạnh mẽ lên còn có tụi em mà☺️☺️☺️
376,kinh từ khi nào 1 căn bệnh biến thái vậy trở thành 1 điều bình thường ? ! tương lai chắc chắn xã hội tất loạn
377,ở ngoài đời vẫn có đấy ạ
378,tại họ ghét những gì họ không kiểm soát đx
379,giọng gái luôn má
380,@ ✨gơn cuti✨ trường này vui nè
381,"tui chính ra thích người đàn ông có chuyện gì sẽ về tâm sự với vợ , khóc cũng được buồn cũng được miễn sao đừng giữ trong lòng rồi lúc nào cũng bực tức"
382,chúc bạn hạnh phúc nhé
383,hỏi ngu tí lgbt là gì 
384,mới bị bẻ xong☺️
385,lên video dễ thương lắm mà sao nay lạ vậy 2 bạn trẻ ơi
386,đừng để cô minh hiếu biết chuyện này 
