,Text
64,Dù ai nói gì đi nữa . Thì tôi đây vẫn đứng dậy ủng hộ cộng đồng LGBT 🏳️‍🌈 .
65,Đích tôn là vậy mình là đích tôn đây nên mình biết
66,"xã hội luôn có sự giao thoa giữa cái cũ và mới, cái mới lúc nào cũng được chú ý nhiều hơn và thường ko được chấp nhận bởi nó còn lạ với người cũ"
67,"bạn nói đúng đấy
 tuy đàn ông không thể yếu đuối nhưng cảm xúc nhiều khi khó kiềm"
68,"vậy sao..2đứa sao về với nhau luôn đi...
 ai làm ck ai lm vk có gì quan trọng.."
69,Mấy bà ngồi dưới thấy mắc mệt thiệt
70,"Mình thấy bth, đó là sự chung thủy"
71,thiệt thì tụi đàn ông đẻ đc ko? tụi bây có bị đau bụng hàng tháng ko? z nha. Ưu tiên bởi tụi t đẻ đc tụi m. Bớt bớt lại
72,"em định sau này khi comeout, e sẽ giải thích tất cả định nghĩa cho ba mẹ nghe. rồi mới bắt đầu nói mình là ng thuộc xu hướng tính dục nào"
73,Là sao z tr 🥰
74,mình đang có một con gấu bông như thế
75,loài người muốn diệt vong thì nhắn OK là xong 24/12/2022 zombie virus ☠️☠️☠️
76,mình ko kỳ thị nhưng ko quan tâm 😂
77,Khi nào còn đòi nữ quyền thì khi đó vẫn ko bình đẳng 😌. T vẫn ko biết đòi chuyện gì nữa. Cviec thì làm theo năng lực hưởng theo nhu cầu rồi
78,nhìu cặp đôi họ cũng vậy ak cô nhưng rồi họ cũng đến đc với nhau ak mạnh mẽ lên cô ơi hãy jk theo con tim minh jk ạ 😀
79,dồng dồng
80,Cái cmt như thời phong kiến ý
81,đã xem và đã khóc theo b
82,monggg anh rep 😳
83,come out với bme hả làm gì có chuyện bme k biết qua trọg là bn có mỡ lòg với chíh mìh k thôi bme tih tế thì để con tự nói bme k tin tế thì nắm đầu r
84,he tim thứ 3
85,"Bình đẳng là cả 2 giới đều có quyền lợi và lợi ích như nhau , chứ không phải nam nữ đều phải làm việc giống nhau , mỗi giới đều có đặc điểm cơ thể ..."
86,"ê mn ơi cho mik hỏi, mik là nữ mà vừa thik nữ vừa thik nam gọi là jz=))))"
87,@Có qua có lại🫶🏻? @🦴 thấy LGBT đc ủng hộ nhìu:>>
88,xdddd ko có phụ nữ đàn ông cũng chả làm gì
89,"Cặp này vui dễ thương quá',"
90,thời này ai còn khái niệm trọng nam kinh nữ
91,Đúng cũng có sai cũng có đàn ông chỉ yếu đuối với chỉ khóc 1 mình hoặc kiềm nén thôi chứ chả có đứa con nào thấy ba mình khóc cả 😂
92,Người ta livestream giới thiệu album :)))))
93,miễn là LGBT là khổ à😇 miệng đời chả trách được 😊
94,"em yêu trường em với bao bạn thân và cô giáo hiền như yêu quê hương cắp sách tới trường trong muôn vàn yêu thương',"
95,Hiện nay nhiều người hay lấy chuyện đi nghĩa vụ quân sự như một cách để phản bác nữ quyền. Vậy quan điểm của anh về vấn đề này ntn?
96,Riêng mình thì lại thích đẻ con gái
97,Vãi mớ có tí tuổi mà hicccc
98,"tóm tắt bài viết,bợ đít phái nữ xem đàn ông là mấy thg ăn không ngồi rồi đc hưởng nhiều quyền lợi trong xã hội',"
99,xem dạ 🤔
100,"Xin lỗi mọi người vì công khai hơi muộn, Tường nhà mình muốn hai đứa chuẩn bị kết hôn mới come out ấy. Và chúng mình sẽ nắm tay nhau vào lễ đường năm sau ạ',"
101,TÔI ĐỒNG Ý♥️💐🏳️‍🌈
102,K có chút j là gái luôn á🥰
103,ở nam còn có mà nói j ở bắc toàn dân cổ hủ
104,"Là một người ủng hộ LGBT t chỉ muốn nói rằng nếu chuyện come out tương đối khó khăn thì chí ít cũng đừng hại một cuộc đời khác để đổi lấy bình yên cho bản thân. Nếu bắt buộc phải kết hôn và có con để bố mẹ yên lòng, né đi sự kỳ thị của xã hội thì chí í… Xem thêm',"
105,@ʙᴇ́ ᴆᴀ̀ᴏ🍑 đọc cmt đi vợ 😂
106,Với m ngay em bé đầu tiên m cũng đi sinh nở 1 mình
107,sao mng kỳ thị thế nhỉ??
108,"giống tui, tui cũng ko hiểu họ làm gì mà bị nhiều người chỉ trích và kì thị"
109,bạn rất đẹp 🥰
110,ở nga chỉ bị cấm tuyên truyền thôi anh ơi
111,là con gái mà còn tứk vs mấy kiểu đấy :)))
112,"T cảm thấy mình may mắn hơn những ng kia',"
113,duy chọn con đường khó đi thôi chứ mình thấy ko phải đường dở. ko đại chúng thôi mà
114,may wá 3ck tui thích con gái 😅
115,Buồn miêng mangg
116,Bên mỹ drag queen luôn đc mọi người ủng hộ và không có chút miệt thị nào 🥰
117,Mê couple này xỉu 🥰🥰🥰
118,"Linh đan cùng Bo En chan tít biến hình',"
119,Gì ngộ vậy trời 😂
120,Yemen thật tuyệt
121,"bỏ biết bao nhiều tiền ăn học, nhưng ra làm lương không bằng cả lương công nhân, cái nghề giáo viên nó bạc bẽo vậy đó"
122,oh weo
123,@chai dìm @Chen đim ủa otp mới à
124,"49 gặp 53',"
125,Bà áo trắng đứng kia lzj là ai thế
126,Tuấn mẻ với nờ ô nô đây hả :))
127,"xin lỗi , t bao ny t ăn 😳 rồi nó dư tiền đi bao con khác ăn trong ngày sinh nhật t 😌 vui ghê"
128,Trời ơi 🥺🥺🥺🥺
129,@Bé Thuý🎀 kkk hiểu í a k
130,Nhật ký vàng anh nam 2004 và rồi
131,đâu.thằng nào nói.cho xin cái dẫn chứng hoặc video cụ thể chứ t thấy mấy th xung quanh t có th nào nói đâu
132,"Không có con trai,con gái đẻ được hok????😂😂😂😂😂"
133,Chị này nhiêu tuổi vậy mấy bạn
134,"Cái đơn giản thôi nè mấy anh? Đẹp mấy anh mới rủ đi ăn dk ạ? Vậy tiền son phấn, skincare, quần áo cho mấy a ngắm mình cùng share đc k?"
135,ăn nói cho hẳn hoi vào nói với người lớn mà nói kiểu đó hả có học ko
136,"đến lúc bị joke ngược lại là y như rằng bảo ngta bẻ giới tính',"
137,"""đừng thik t nhá"":)) mắc cl j t phải thik m"
138,Cô gái này có vẻ rất thích ra những chiếc video gây tranh cãi nhỉ.
139,co chong chua e.
140,ba mẹ tôi thì không có kị thị LGBT
141,vì một vài ng phụ nữ bị mặc định vào đầu là con trai khóc là yếu đuối nên dần dần họ cx mặc định cái tự tưởng ko đc khóc đấy.
142,con gái h hiếm hơn
143,"Tuỳ theo mà , vậy bộ anh ontop là sai hả 🥺🥺🥺🥺"
144,Vũ trụ tự mang vid đến cho mình
145,E chúc 2 a chj hah phúc
146,"Tuyệt quá, thật vui khi đc nghe câu chuyện này 🥺mong bạn và partner hạnh phúc 🥺"
147,Quá tuyệt vời luôn anh ạ.
148,"Tường Duy bê đê di truyền nhaa, nữa lựa chồng cẩn thận chút;)))',"
149,"Tôi cũng bị đồng tính vào năm tôi 14 tuổi , nói ra là nó tự bộc phát nhưng cũng may mẹ tôi hiểu cho tôi nên giờ mối quan hệ tôi với cô ấy vẫn cứ diễn ra',"
150,Hát bằng cả tính mạng 😂
151,bây h còn nghe nói thuốc chữa khi mới sinh bà chủ mk nói mà mk tức
152,y vậy
153,"ủa rồi lm bằng cách nào để có baby ,e hỏi thật á ,thật lòng là hk biết ạ ,"
154,lm thế chả khác j kéo thêm anti cho LGBT cả 🤡
155,mình có nhiều lúc thích trai lúc thích gái
156,@chauqui05 nghe ko
157,Ngày này đối vs tôi cx như ngày bthg trong tuần thôi
158,kiểu hồi xưa người ta cổ hủ lên dù có nhiều LGBT thì ngta cũng giấu đi chứ kh dám nói lên thấy ít còn bây h thì khác lên nhiều người mới tự tin thể hiện ra á(đúng thì th sai đừng chửi t nha🥰😍)
159,Không nói chuyện hai bạn này sinh con để ràng buộc nhưng chưa có kinh tế ổn định cuộc sống rồi giờ có bé nữa thì khó lắm ạ :(
160,@meochua367 nào chúng ta cùng quay về thời phong kiến
161,nam nữ y nhau mới có video xem
162,"Võ Thị Ngọc Cẩm học đi thứ hai vô bín hình',"
163,"đồng tính ko phải bệnh nhưng hành động của thằng ck ko chấp nhaanj đk',"
164,Thưng chị Thỏ Ngọc 😘
165,đừng bao jo mang lý do say xỉn ra để làm lý do. trên đời này chẳng ai say đến mức mất lý trí để ngủ với ng khác trừ trường hợp mình muốn như vậy
166,@Khanh Ha chan cho gi ck oi em day
167,dặ con thích con người 🥰
168,"Ba mẹ em ko bao giờ như vậy, đối vs bame đó là bth"
169,"Sinh ra ai cũng có sứ mệnh riêng của mình, tôn trọng nhau và làm những gì thấy yêu thương nhau là được rồi. Đừng so sánh mà hãy làm cho nhau hp nhé 🥰"
170,"Ủng hộ Long chun',"
171,Trong khi các bạn ở đây tranh cãi thì ở một nơi nào đấy tệ nạn vẫn xảy ra thôi.
172,Anh có quản lý công việc cụ thể của các bạn nam bao h chưa a ?
173,@tuannee 2411 uảaaaaa
174,cô ấy cx là 1 trong những cô hoa hậu mà tôi thích mà cô ấy làm cho tôi thất vọng quá🥺🥺🥺
175,Chịu
176,"theo mình thì bình đẳng giới về quyền và nghĩa vụ như là có quyền đi học, có quyền làm chủ gia đình, có quyền này kia các thứ, còn về thể lực là khác"
177,E xinh gái quá 🥰🥰🥰
178,chỉ có thể cố gắng thành công để có thể chứng minh
179,Bắc bao dung thật sự ❤️
180,cao thanh tú lm t nhớ đến bộ bad luck(・ ・;)
181,alpha thì nam hay nữ chả đc nói thế cho vuông😅
182,Coi show này chủ íu coi a Tuân 😂
183,"Thực ra qua giờ mình cmt dạo vài chục clip,thì thường bị mấy anh nam bắt bẻ thôi,sau mấy bạn nữ mới vô cãi nhau nên là nhịn nhau mụt xíu dui dẻ nha 🥰"
184,Mọi người hiểu cho chị ấy vậy ai hiểu cho cộng đồng LGBT?
185,"Hay',"
186,18tuổi em comeout😐 mong là thành công
187,Niềm bắc vẫn kì thik LGBT 🥺🥺🥺
188,Tui đang nghe cái gì z 😂 nghe bé nó bắn ráp rễ thương quá 😂
189,Hời ơi tui có con gái tui cưng xỉu không mê con trai chút nào
190,chuẩn rồi
191,nhất 2 bann luôn rùi nak
192,ai sinh con vậy 🥰🥰🥰
193,"bả sang qua từng ngày =))) Đúng là alpha male càng dìm thì ng đàn bà chính đáng càng nổi kkk
10đ Perfect"
194,còn bạn iu mìn hong? 🥺
195,tao không biết nói gì. nghĩ mà chán.
196,giải cứu vinh gấu mn ơiii
197,@Thanh Duy 😳 omg
198,mình cũng mới come out vs mẹ mình luôn á
199,"Còn trẻ ly vị đi gia đình đó o xứng đán để mình hầu',"
200,"Còn menly? K biết là toxic masculinity hay … Xem thêm',"
201,"Đấy, chúng mày tag mấy con méo mèo meo vô duyên nhất VN vào cho n đỡ thắc mắc nè"
202,quá đẳng cấp 😂😂😂😂
203,"suốt ngày bình đẳng giới nhưng đến lúc kết hôn thì hỏi ở đâu,lấy gì nuôi con,về nhà bố mẹ vợ hỏi mua nhà chưa? vậy ai cần nhỉ🤔🤔"
204,"Vut thang vao mieng cua ba gia va thang chong di e,ui troi sao co the suy ra y nghi k dung nhu vay',"
205,Dễ thương quá 😅😅🥰
206,vì LGBT kinh thường chúa
207,"điều ai cũng nên biết nhưng k phải ai cũng biết, vid hay nội dung ổn, +1 respect"
208,"Nên thay từ bị bằng từ may mắn thì hợp ní',"
209,gắt .nhưng em thích
210,Làm nhiều tiêu nhiều. Lương dược sỹ 4 triệu như mình chắc chớt😂
211,"Thương thật sự 🥺 cũng là con người bình thường, cũng có tình yêu mà chẳng dám công khai 🥺"
212,"Đéo hiểu sao nổi tiếng luôn',"
213,t hỏi mấy đứa lgbt giữa ham muốn của m và cảm xúc của ng sinh ra nuôi nấng của m thì lựa chọn nào xứng đáng hơn?
214,tôi thả tim vì cảm thấy chị là người có tâm
215,"LGBT MÃI KEO, KO KÌ THỊ😘"
216,@hé lô t gặp đúng rùi ak
217,"Men',"
218,"thương quá,"
219,xin lỗi tôi ko ghét các bạn nhưng mình yêu con trai mình là con gái 😁
220,nhac nao cung nhảy
221,"ý kiến của chị rất đúng nhưng từ ngữ của cái phần bên "" nữ quyền"" nó có thể gây hiểu lầm á chị:<"
222,nhà giả kim nhưng chx thấy tạo ra cái j😭😭😭🐧🐧🐧
223,@thinh224:)) i chang tên t định đặt
224,@Brownie nekk🍙 con cái là lộc trời cho kia mà🥲🥲
225,mình và người ấy quen nhau gần 7 năm . và mình đã chọn cách dừng lại. vì không muốn ngta phải buồn khi nghe những lời cay đắng đó từ người thân gđ mìh
226,Quá tuyệt vời. Chúc mừng 2 bạn 🥰
227,chị này đẹp mà dễ thương quá 🥰🥰🥰
228,Vừa xem xong. Ls thái hoà
229,"dạ emm chồng ơi em đâyyyy',"
230,"Đúng rồi đấy',"
231,"Anh áo đen diễn xuất sắc',"
232,M 26t làm tháng 50-70tr mà vẫn áp lực chi tiêu gia đình con cái . K biết lúc nào mới mua được nhà HN .
233,bth mà cuộc sống mà mỗi ng một quan điểm và tộc quán không ai giống nhau vậy nên họ ntn thì chúng ta cx phải chấp nhận sự thật là vậy
234,Hình như nhiều người thích được kỳ thị nên chứ lấy chuyện xưa nói lại. Chứ giờ làm gì ai phân biệt. Tính tình vui vẽ mọi người đều yêu quý
235,Săn rắn vàng 🤣
236,nếu bây giờ tui nói trong nhà tui đang Trọng Nam Khinh Nữ bạn có tin ko😊
237,mình đồng ý với quan điểm này
238,"Phụ nữ cũng áp lực kte , sinh con , chăm lo gđ mà ."
239,"Mình thấy mng cmt nói tụi mình ct rùi nhma chưa nha, mình đang chữa bệnh nên k ra clip thui à chứ tụi mình vẫn bth á =)))"
240,cô ơi con càng lớn con hình như dần có tình cảm với nữ ban đầu con vẫn luôn phủ định nó nhưng dần dần nhận thức được việc đó con cũng biết rằng con
241,dân miền trong hay nhỉ 😂
242,con gái được nói xấu con trai nhưng con trai thì không?
243,xã hội này nó là vậy cái gì trái với tự nhiên điều bị nhìn với con mắt khác
244,Thực tế thì tới jo này vẫn còn cái vụ trọng nam khinh nữ nhìu lắm. Tất cả việc nhà con gái phải lm còn con trai ngồi chơi😏
245,không phải họ ko hiểu tại do họ KO MUỐN HIỂU..!
246,@karyluw đây nè
247,@maldecoucou8 lọc chồng hoy bé 🥳💅
248,dz xỉu😳
249,Đỉnh lắm bạn ơi! 👍@Làm việc tại nhà188
250,i chang con gái luôn trời má xinh vcl
251,A ơi tại sao phụ nữ khi ở trần lại bị xem là phản cảm ở rất nhiều nơi trên thế giới ạ
252,trường t mơ ước🙂
253,Chao oi a mất e rôi 😂😂
254,không biết trl sao luôn á má
255,sợ ba mẹ kì thị ko chấp nhận quyết định che dấu
256,em gái mình hôm qua cắt tóc như con trai như thầm nói với mình em muốn come out bực với em lắm những vẫn ton trong sự quyết định của em dù như nào em vẫn là em gái chị yêu nhất
257,ai giúp tui xóa ký ức 5 giây vừa qua
258,Đúng như cái tên của trường:)
259,"Thay a nay rất trân thật voi khuông mat phuc hậu , chúc a mot doi binh an ❤️"
260,Gile là con trai hay con gái thế.
261,đi vào sp đê đầy
262,"1 số bạn nữ lấy lý do nữ quyền để k phải rửa bát , nữ quyền của bạn ấy là ngủ dậy ăn cơm và lướt đt cho nam rửa bát vì mấy ô ấy cũq có chân tay mà 😬"
263,ba mẹ sẽ cầm vali và bạn sẽ đi 1 mik trên phố
264,"Nếu sau này chẳng may 1 trong 2 đứa con của mình, thậm chí là cả 2 đứa trong cộng đồng LGBT thì mình vẫn luôn ở bên cạnh, yêu thương và ủng hộ các con ♥️♥️♥️"
265,nữ quyền này hiểu sai nghĩa ông kia r
266,"Nói thẳng ra là bản tính với đặc điểm sinh học của phụ nữ vốn đã định sẵn họ phù hợp nhất với công việc gia đình rồi, ba cái trò đú đởn chính trị - xã hội hợp với đàn ông hơn chứ tôi chả thấy bà nhân quyền nào ra hồn trong lịch sử cả.',"
267,cam chịu.
268,xem mà thấy tức anh ách
269,nghe kể thấy thương quá
270,🥺thương LGBT+🏳️‍🌈
271,@tranngocbich2007 @ikonsaranghe @selenagnocvanie t ko cần nói mà mẹ t bic trước lun r.
272,"Ơ giời ơi em cầu hôn c liền đâyyyyy',"
273,còn đỡ hơn tại Indonesia
274,9th10 ngày nữa mới lọt tức là 2025 r vậy muốn đẻ là phải đu từ 2-3 tháng trước
275,chỗ khúc bác sĩ khó thiệt.
276,come out thì chưa nhưng đọc bình luận buồn nhiều chút..
277,chuẩn luôn 😅
278,"Cảm nắng chỉ là nhất thời, cuối cùng cũng sẽ quay lại lấy vk thôi 😏😏, đó là lí do ghét Bi. Nếu xác định là lấy vk vậy tại sao lại yêu con trai làm j"
279,Ý là mình nói mình ko cần đàn ông là mình coi thường đàn ông hả😅
280,nghĩ thôi đã thấy tức r
281,mình thương các bạn như này thật sự . các bạn ý bị thiệt thòi nhiều quá
282,bame em còn kì thị nữa mà nhưng họ đâu biết rằng con họ cũng là LGBT...
283,nói đúng mà...
284,Hỏng hết đời sau
285,v mà bảo sao ngta ko ghét bi cho đc
286,Làng gốm bát tràng ah :)😅
287,Mắt kính xịn dữ😂
288,xích lô nói gì đi ạ
289,Cần lắm những người cha mẹ tôn trọng con mình ^^
290,mẹ mình đã đưa mình tới bệnh viện mẹ bảo đây là bệnh và mẹ không chấp nhận con như vậy nhưng mẹ ơi con cũng là con người con muốn là chính con 🥺
291,"E rất giỏi ,không có gì hết em"
292,Độc lạ bình dương :))) @Gbảolàchampbutter🌊🐬
293,"bình thường e, miệng đời là vậy, e cứ bản lĩnh mà sống, suy cho cùng e sống cho bản thân e mà, ai sống cho e đâu🥰"
294,"Trần Yến Nin juan. Nhiều đứa bô bô mồm ủng hộ LGBTQ+ nhưng LGBTQ+ trong mắt chúng nó phải giàu, giỏi, đẹp, hot. Chứ ko hợp với tiêu chuẩn chung của cộng đồng thì thể nào cũng bị lôi ra làm trung tâm chế giễu',"
295,ủa thanh duy đây sao
296,"Longg Hoàng Lee đọc về nguồn gốc của tháng tự hào rồi hiểu sao nó tồn tại giúp mày trông đỡ giống một đứa bị dại đang gào lên mà?',"
297,chuẩn 🥰
298,@Luna pawat 💚❤️ ước🥺
299,chúc mừng vc em nhe .. mai mai hạnh phúc nhe
300,"Vợ lý..loại trong nam khinh nữ thì bỏ đi',"
301,10đ
302,Y la nó ko muốn ae đi làm cty nó muốn anh em mở cty giàu đấy 😂
303,"Mình cực kỳ phẫn nộ với đàn ông nhất thiết phải sinh con trai! Ck tui cũng z, nhiều khi ngủ mơ cũng ám ảnh nữa"
304,@be.minh ủa
305,Em xin vía gd chấp nhận ạ em là LGBT☺️🏳️‍🌈
306,"Chẳng làm gì cả, vì họ hông thích là hông thích thôi. Nên đâu cần quan tâm họ thích hay ghét nè ☺️"
307,Mk may mắn come out có chị họ và chị dâu họ nói và gthich rất nhiều cho cha mẹ hiểu và may mắn đc chấp nhận luôn ngay lần ấy🥰
308,yep😂
309,Cái cuối nên để là: Đàn ông k ăn thua nhau chén rượu. Biết cách từ chối chén rượu mới là đàn ông
310,Bao nhiêu người tán tỉnh sao lại lấy phải ông Ck ko ra gì.đàn ông đi tán còn đàn bà dc chọn cơ mà chọn sao là do mình trách ai
311,Em come out thành công dù bame dữ k ngờ bame đều đồng ý hết
312,Gia tuệ đi ạ
313,"ôi nhìn lại 2 năm rồi nhanh quá... nhớ mãi NALA',"
314,Èo . Anh này nói chuyện nghe thích thật
315,Thân xác này chỉ là vay mượn. Nên cứ làm những việc mình thích là đc
316,tải cổ ngựa
317,mặc dù là chiện kinh dị nhma nhìn con gấu mắc cừi k sợ đc :)))
318,2 bé này còn nhỏ mới 19t suy nghĩ vẫn chưa chín. Xong lại có suy nghĩ ăn cơm trước kẻng có con vs nhau để ép gđ m. Trong khi 2 bé chưa có j trog tay
319,cái mi xinh quá chị oiii
320,Tẩy😁chay 😏
321,wow do what hocmu
322,Thích con người chứ không thích giới tính ✨
323,T thấy vid này mới độc hại thì có 🤣
324,anh rất thân thiện đã gặp và chụp ảnh vs a ấy 1 lần khi a quay Tik Tok ở Ninh Bình.
325,Đó Chỉ Là Kinh Thánh Dịch Ra Trước Khi Nói Giùm
326,"Quốc An anh hết bệnh r kìa',"
327,bạn thật đẹp
328,Nó biết nó nói đ đúng nên nó mới đeo mặt nạ đó 🤣🤣
329,Hai bạn này cưng quá.🥰
330,LGBT một phần do sinh ra và phần còn lại cx do tác động bên ngoài chức đâu phải cắn bệnh:”(((
331,anh cũng có bín tới đâu
332,"Dm đúng đấy',"
333,ai yêu mà ko ghen vì yêu chị mới ghen🥰
334,thế kỉ 21 rồi mà vẫn thích lgbt
335,"sợ nhất câu này nên comeout lúc nào cx phải ""tất nhiên là ctrai hơn rồi mẹ"" :)))"
336,"t biết sẽ có ngày này mà',"
337,câu chuyên đầy xũc động. thương cô gái ấy
338,Có parky vậy thôi
339,@🪼 sợ
340,Vạy quả mà nó vừa yêu nữ lại vừa yêu làm thì có khải là bạn nam bị cắm sừng ko
341,k hiểu lắm
342,Con gái của mẹ khéo quá😆
343,Lý do nhìu ng ghét bise😅
344,lớp em ko ai kì thị hết mà còn nói chuyện vui vẻ lắm 😌😂
345,ơ cô này ở bình phước à
346,Hà Nội giờ cũng thoáng nhỉ 😂
347,thanh niên suốt ngày làm mấy content chia rẽ câu view 😳
348,Cho e hỏi là có lỗi sai gì phải xin lỗi vậy ạ ???
349,"lão gia bạc tỉ, làng gốm bát tràng👍"
350,Mắc gì xin lỗi?
351,Cái lúc khó có con thì lúc ấy có còn là vui r con trai con gái ko quan trọng r
352,tôi yêu LGBT nhưng tôi cũng phải yêu người khác giới để có người nối dõi
353,Ảo ma canada🙄👆👆wfsf
354,Nam nữ gì cũng vậy cũng có người yếu người mạnh
355,Sao t thấy gần giống cô linda🥺😂
356,mẹ khá là tốt
357,"Thôi nạ',"
358,thấy mấy bạn nam bảo con gái có làm việc nặng được ko có bưng có xách cái này cái kia đc ko haizz nếu như ông trời sinh ra con gái có sức mạnh như đàn
359,Học hành số học này kia cuối cùng yêu cái thằng Nhuộm tóc
360,Khổ thân thằng Trường 😂
361,Rocker nguyễn giống ô gì phim bà mẹ tồi của tôi vậy
362,theo tôi phải cứng rắn mới có thể vực dậy khóc không giải quyết được cái gì
363,Ck là nữ à .hay nam chuyển nữ
364,"LGBT là rất bth cuộc sống, hp của họ do họ quyết định"
365,dthw zayy
366,"em phải biết gạt bỏ những người không tôn trọng người khác, hãy sống thật với chính mình, đó là ước mơ của mình cuộc sống của mình không ai thay thế được, cố lên em nhé 👌💪"
367,tôi ĐỒNG Ý họ không làm gì xấu không hại ai họ có quyền hạnh phúc Độc lâp-Tự do-Hạnh phúc luôn là mục tiêu của người Việt
