index,text,label,platform,processed_text
76,ảo vc người mỏ mk thơm mày dạng parky không bắc,1.0,TikTok,ảo vc người mỏ mk thơm mày dạng parky không bắc
77,mấy thằng dân bọ oai,1.0,TikTok,mấy thằng dân bọ oai
78,đi miền trung thời xưa toàn phe miền bắc đi đánh bọn namkiki cứu đừng danh miền trung namkiki,1.0,TikTok,đi miền trung thời xưa toàn phe miền bắc đi đánh bọn namkiki cứu đừng danh miền trung namkiki
79,parky,1.0,TikTok,parky
80,parky chửi cali mỹ nail parky mong mỹ kiếm sống,1.0,TikTok,parky chửi cali mỹ nail parky mong mỹ kiếm sống
81,ghét parky ta,1.0,TikTok,ghét parky ta
82,miền nam paki,1.0,TikTok,miền nam paki
83,kia bắc sống tình_cảm,2.0,TikTok,kia bắc sống tình_cảm
84,rau_muống cá_rô_phi gia_trưởng,1.0,TikTok,rau_muống cá_rô_phi gia_trưởng
85,parky,1.0,TikTok,parky
86,parky cay,1.0,TikTok,parky cay
87,miền nam chào parky kia nhá,1.0,TikTok,miền nam chào parky kia nhá
88,tôi party,1.0,TikTok,tôi party
89,nam bắc,2.0,TikTok,nam bắc
90,party,1.0,TikTok,party
91,parky cay,1.0,TikTok,parky cay
92,parky cay cay cay,1.0,TikTok,parky cay cay cay
93,parky cay,1.0,TikTok,parky cay
94,parky cay,1.0,TikTok,parky cay
95,dương parky,1.0,TikTok,dương parky
96,việt_nam ta,2.0,TikTok,việt_nam ta
97,parky,1.0,TikTok,parky
98,parky tiếng,1.0,TikTok,parky tiếng
99,parky cay,1.0,TikTok,parky cay
100,không_lẽ buồn parky buồn lắm,1.0,TikTok,không_lẽ buồn parky buồn lắm
101,calikiki,1.0,TikTok,calikiki
102,kiki xương nè,1.0,TikTok,kiki xương nè
103,hiền cali,1.0,TikTok,hiền cali
104,jack,1.0,TikTok,jack
105,parky giải,1.0,TikTok,parky giải
106,parky,1.0,TikTok,parky
107,hoa thiên quế chào em chào namke pakyr,1.0,TikTok,hoa thiên quế chào em chào namke pakyr
108,miền nam chào khắp đất nhá,2.0,TikTok,miền nam chào khắp đất nhá
109,parky,1.0,TikTok,parky
110,bọn nguỵ nô,1.0,TikTok,bọn nguỵ nô
111,đi nam tưởng thân_thiện ngờ,1.0,TikTok,đi nam tưởng thân_thiện ngờ
112,thèm_thuồng bắc kỳ nhường,1.0,TikTok,thèm_thuồng bắc kỳ nhường
113,cali,1.0,TikTok,cali
114,người calikiki,1.0,TikTok,người calikiki
115,việt_nam chia_rẽ cali đợ,1.0,TikTok,việt_nam chia_rẽ cali đợ
116,mày bọn tao namkiki mày,1.0,TikTok,mày bọn tao namkiki mày
117,parky gái namkiki,1.0,TikTok,parky gái namkiki
118,mấy cali nè,1.0,TikTok,mấy cali nè
119,parky chào narky,1.0,TikTok,parky chào narky
120,cali,1.0,TikTok,cali
121,cali,1.0,TikTok,cali
122,ta gọi đồng_bào,1.0,TikTok,ta gọi đồng_bào
123,miền nam quý_mến miền bắc,2.0,TikTok,miền nam quý_mến miền bắc
124,parky,1.0,TikTok,parky
125,tôi miền nam thik người bắc giọng ấm cực,2.0,TikTok,tôi miền nam thik người bắc giọng ấm cực
126,parky,1.0,TikTok,parky
127,parky hơi lạnh đọc boa ky,1.0,TikTok,parky hơi lạnh đọc boa ky
128,parky cay,1.0,TikTok,parky cay
129,cali,1.0,TikTok,cali
130,anh_em miền nam miền trung parky vui,1.0,TikTok,anh_em miền nam miền trung parky vui
131,đr vui cali,1.0,TikTok,đr vui cali
132,cali nek mày miền nam_trung bắc gì tôi miền trung tiếng tất anh_em miền trung không thèm anh_em với calicon haha,1.0,TikTok,cali nek mày miền nam_trung bắc gì tôi miền trung tiếng tất anh_em miền trung không thèm anh_em với calicon haha
133,cali,1.0,TikTok,cali
134,tui nè miền bắc dth lắm,2.0,TikTok,tui nè miền bắc dth lắm
135,cali,1.0,TikTok,cali
136,nai kỳ,1.0,TikTok,nai kỳ
137,bắc parky thành cay_cú sống không tử_tế với nhột,1.0,TikTok,bắc parky thành cay_cú sống không tử_tế với nhột
138,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0,TikTok,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối
139,gái parky mún đớp em,1.0,TikTok,gái parky mún đớp em
140,chả không chả nhẽ ngọng namkiki,1.0,TikTok,chả không chả nhẽ ngọng namkiki
141,namkiki,1.0,TikTok,namkiki
142,miền bắc chào batman,1.0,TikTok,miền bắc chào batman
143,việt_nam duongdereview learnontiktok mcv,2.0,TikTok,việt_nam duongdereview learnontiktok mcv
144,zậy tôi namky bình parky giãy đành_đạch zay,1.0,TikTok,zậy tôi namky bình parky giãy đành_đạch zay
145,parky chúa,1.0,TikTok,parky chúa
146,nha việt ta dòng dòng máu ok giải_phóng miền nam miền bắc chiến_sĩ hai miền giúp_đỡ,2.0,TikTok,nha việt ta dòng dòng máu ok giải_phóng miền nam miền bắc chiến_sĩ hai miền giúp_đỡ
147,parky qạo namky co qạo,1.0,TikTok,parky qạo namky co qạo
148,parky mãi mõm,1.0,TikTok,parky mãi mõm
149,parky xấu miền nam,1.0,TikTok,parky xấu miền nam
150,parky dãy nảy lôi chínhtrị chia_rẽ phản_động blabla không người ta ghét văn_hoá khôn_lỏi kiêu_ngạo,1.0,TikTok,parky dãy nảy lôi chínhtrị chia_rẽ phản_động blabla không người ta ghét văn_hoá khôn_lỏi kiêu_ngạo
151,parky đi báo,1.0,TikTok,parky đi báo
152,parky lỏ,1.0,TikTok,parky lỏ
153,parky tan_hoang,1.0,TikTok,parky tan_hoang
154,lũ parky quơ đũa nắm,1.0,TikTok,lũ parky quơ đũa nắm
155,parky nhãy dựng_hà,1.0,TikTok,parky nhãy dựng_hà
156,không mướn không parky miền nam sống đừng vô phá_hoại thoi parky chỗ cút chỗ đi bớt không,1.0,TikTok,không mướn không parky miền nam sống đừng vô phá_hoại thoi parky chỗ cút chỗ đi bớt không
157,parky cay đỏ dé,1.0,TikTok,parky cay đỏ dé
158,parky dãy nảy lôi chínhtrị chia_rẽ phản_động blabla không người ta ghét văn_hoá khôn_lỏi kiêu_ngạo,1.0,TikTok,parky dãy nảy lôi chínhtrị chia_rẽ phản_động blabla không người ta ghét văn_hoá khôn_lỏi kiêu_ngạo
159,parky rau_muống chấm chubin,1.0,TikTok,parky rau_muống chấm chubin
160,parky,1.0,TikTok,parky
161,parky cay,1.0,TikTok,parky cay
162,namky trungky không parky tụi nhảy_dựng hài thiệt,1.0,TikTok,namky trungky không parky tụi nhảy_dựng hài thiệt
163,parky lôi trị phản_biện thực_tế văn_hoá người_người kia bắc đa,1.0,TikTok,parky lôi trị phản_biện thực_tế văn_hoá người_người kia bắc đa
164,tht tui bảo cali cali gì tôi không nx ns,1.0,TikTok,tht tui bảo cali cali gì tôi không nx ns
165,cali que kid,1.0,TikTok,cali que kid
166,dân địa namki cay,1.0,TikTok,dân địa namki cay
167,namki cay,1.0,TikTok,namki cay
168,namki ngầu tht,1.0,TikTok,namki ngầu tht
169,kikiki,1.0,TikTok,kikiki
170,lôi hộ tao chứng bắc cali,1.0,TikTok,lôi hộ tao chứng bắc cali
171,the gio tôi noi lai thi lai spam cay parky,1.0,TikTok,the gio tôi noi lai thi lai spam cay parky
172,kiki bút ku mẽo sướng xâm_lược,1.0,TikTok,kiki bút ku mẽo sướng xâm_lược
173,siêu parky,1.0,TikTok,siêu parky
174,parky gia trưởg lươn_lẹo kiêu_ngạo độc_đoán coi bĩu môi dè_bỉu thái_độ khinh_bỉ gian_xảo lừa_lọc không nhiên ghét,1.0,TikTok,parky gia trưởg lươn_lẹo kiêu_ngạo độc_đoán coi bĩu môi dè_bỉu thái_độ khinh_bỉ gian_xảo lừa_lọc không nhiên ghét
175,namky thịt chó,1.0,TikTok,namky thịt chó
176,dân địa namki cay,1.0,TikTok,dân địa namki cay
177,namki parky trợ nhục hảem không bọn namki bọn mày gặm bình oxi,1.0,TikTok,namki parky trợ nhục hảem không bọn namki bọn mày gặm bình oxi
178,mày thử miền trung gọi trung kỳ vỡ alo lũ tây nội_địa mày hào gọi namki,1.0,TikTok,mày thử miền trung gọi trung kỳ vỡ alo lũ tây nội_địa mày hào gọi namki
179,parky miền nam xưa miền nam parky đói,1.0,TikTok,parky miền nam xưa miền nam parky đói
180,parky pịa đi,1.0,TikTok,parky pịa đi
181,parky parky,1.0,TikTok,parky parky
182,parky,1.0,TikTok,parky
183,parky nen đì ngược trung_quốc tổ_tiên,1.0,TikTok,parky nen đì ngược trung_quốc tổ_tiên
184,parky cay,1.0,TikTok,parky cay
185,parky chán lắm,1.0,TikTok,parky chán lắm
186,không parky miền nam không parky miền nam không parky,1.0,TikTok,không parky miền nam không parky miền nam không parky
187,phân_biệt miền parky,1.0,TikTok,phân_biệt miền parky
188,parky bận ninja siêu_thị cửa_hàng nhật,1.0,TikTok,parky bận ninja siêu_thị cửa_hàng nhật
189,lặng_lẽ đọc phân_tích phân_biệt vùng miền kết_luận việt_nam nam_trung parky,1.0,TikTok,lặng_lẽ đọc phân_tích phân_biệt vùng miền kết_luận việt_nam nam_trung parky
190,gốc parky gọi parky nhể,1.0,TikTok,gốc parky gọi parky nhể
191,parky xâm_chiếm miền nam,1.0,TikTok,parky xâm_chiếm miền nam
192,parky ngu chó,1.0,TikTok,parky ngu chó
193,parky,1.0,TikTok,parky
194,parky lý_lẽ,1.0,TikTok,parky lý_lẽ
195,parky,1.0,TikTok,parky
196,không parky lm rau_muống,1.0,TikTok,không parky lm rau_muống
197,đa sống miền bắc hơi láo kg đói tội no mồm to nội del dân miền nam kg phân_biệt,1.0,TikTok,đa sống miền bắc hơi láo kg đói tội no mồm to nội del dân miền nam kg phân_biệt
198,bake hả bạn,1.0,TikTok,bake hả bạn
199,cali nhảy đành_đạch,1.0,TikTok,cali nhảy đành_đạch
200,parky truyền_kiếp parky tr quốc,1.0,TikTok,parky truyền_kiếp parky tr quốc
201,truoc thang ho chua cu op mien bac nguoi mien bắc giàu,1.0,TikTok,truoc thang ho chua cu op mien bac nguoi mien bắc giàu
202,calicon,1.0,TikTok,calicon
203,ducangky,1.0,TikTok,ducangky
204,dân địa namki cay,1.0,TikTok,dân địa namki cay
205,cali quỳ đất,1.0,TikTok,cali quỳ đất
206,namki cai_trị cay,1.0,TikTok,namki cai_trị cay
207,sơn bọn pakyr tức vcl bọn khinh vl coi minh cướp,1.0,TikTok,sơn bọn pakyr tức vcl bọn khinh vl coi minh cướp
208,ki cx chán lắm rồi,1.0,TikTok,ki cx chán lắm rồi
209,neu không co paky thi miền nam se không khổ,1.0,TikTok,neu không co paky thi miền nam se không khổ
210,miền nam bắc thành bắc bẩn tức chửi parky kì thiệt,1.0,TikTok,miền nam bắc thành bắc bẩn tức chửi parky kì thiệt
212,tung_hô parky không bu cắn đấy,1.0,TikTok,tung_hô parky không bu cắn đấy
213,miền nam gọi kỳ miền bắc kêu_gọi xưa bạn kỳ sồn_sồn,1.0,TikTok,miền nam gọi kỳ miền bắc kêu_gọi xưa bạn kỳ sồn_sồn
214,bạn kỳ tr kỳ kỳ gọi thời xưa gọi gì sai àh xưa ta gọi,1.0,TikTok,bạn kỳ tr kỳ kỳ gọi thời xưa gọi gì sai àh xưa ta gọi
215,thằng tây nội đi chia_sẻ,1.0,TikTok,thằng tây nội đi chia_sẻ
216,bắt được thằng tây nội_địa ngậm bịa cali,1.0,TikTok,bắt được thằng tây nội_địa ngậm bịa cali
217,culi không đi học bạn tôi dân_trí đấy ngòi bắc,1.0,TikTok,culi không đi học bạn tôi dân_trí đấy ngòi bắc
218,namky khôn ha covid đói gặm bình oxi,1.0,TikTok,namky khôn ha covid đói gặm bình oxi
219,mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư,1.0,TikTok,mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư
220,chia zui đi vi cháu hk fai người parky fai zui chư bùn gì,1.0,TikTok,chia zui đi vi cháu hk fai người parky fai zui chư bùn gì
221,thực parky hàn_quốc quan_hệ huyết_thống không bạn hq park ki,1.0,TikTok,thực parky hàn_quốc quan_hệ huyết_thống không bạn hq park ki
222,parky vẻ,1.0,TikTok,parky vẻ
223,không miền nam parky,1.0,TikTok,không miền nam parky
224,parky cá_rô,1.0,TikTok,parky cá_rô
225,parky cay,1.0,TikTok,parky cay
226,parky khóc,1.0,TikTok,parky khóc
227,má không parky miền hách_dịch,1.0,TikTok,má không parky miền hách_dịch
228,parky đi phá chỗ đấy,1.0,TikTok,parky đi phá chỗ đấy
229,parky cay,1.0,TikTok,parky cay
230,mượn bk giải_phóng,1.0,TikTok,mượn bk giải_phóng
231,cay hả parky,1.0,TikTok,cay hả parky
232,parky kiu parky giờ kiu giờ kiu giận khăn vá,1.0,TikTok,parky kiu parky giờ kiu giờ kiu giận khăn vá
233,parky cay,1.0,TikTok,parky cay
234,parky,1.0,TikTok,parky
235,parky,1.0,TikTok,parky
236,parky cấm xkld,1.0,TikTok,parky cấm xkld
237,parky thương,1.0,TikTok,parky thương
238,parky phân_biệt vùng miền phân_biệt dân hn hn,1.0,TikTok,parky phân_biệt vùng miền phân_biệt dân hn hn
239,tao mắc_cười chỗ chiến_dịch giải_thống miền bắc miền nam tham_gia không công chất parky,1.0,TikTok,tao mắc_cười chỗ chiến_dịch giải_thống miền bắc miền nam tham_gia không công chất parky
240,parky hàn nhật sợ,1.0,TikTok,parky hàn nhật sợ
241,được đi học không kalicho,1.0,TikTok,được đi học không kalicho
242,vd nhá mày trc xóm mày chó tung dại miệng xùi bọt mép mắt long sòng xọc người cắn mồm xủa parky,1.0,TikTok,vd nhá mày trc xóm mày chó tung dại miệng xùi bọt mép mắt long sòng xọc người cắn mồm xủa parky
243,kikiki,1.0,TikTok,kikiki
244,miền nam đi phân_biệt miền dân chí miền nam học_thức kém,1.0,TikTok,miền nam đi phân_biệt miền dân chí miền nam học_thức kém
245,không parky lò mày đi,1.0,TikTok,không parky lò mày đi
246,parky thời vua hùng khai_hoang cày cmay đấy,1.0,TikTok,parky thời vua hùng khai_hoang cày cmay đấy
247,tây nội_địa pịa cali mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư,1.0,TikTok,tây nội_địa pịa cali mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư
248,nhựt võ parky phá_hoại cháo đá bát rồi rô không không yeu yêu trung_quốc,1.0,TikTok,nhựt võ parky phá_hoại cháo đá bát rồi rô không không yeu yêu trung_quốc
249,namky khóc,1.0,TikTok,namky khóc
250,kiki gặm xương không,1.0,TikTok,kiki gặm xương không
251,chủi bọn dân lưu_vong thất_bại cay chui_rúc đất việt_nam,1.0,TikTok,chủi bọn dân lưu_vong thất_bại cay chui_rúc đất việt_nam
252,namkiki phốt câu thối,1.0,TikTok,namkiki phốt câu thối
253,nam bọn phản_động bây_giờ culi kêu không giải_phóng,1.0,TikTok,nam bọn phản_động bây_giờ culi kêu không giải_phóng
254,parky chỗ tôi phá điên,1.0,TikTok,parky chỗ tôi phá điên
255,việt_nam duongdereview learnontiktok mcv,2.0,TikTok,việt_nam duongdereview learnontiktok mcv
256,parky,1.0,TikTok,parky
257,parky,1.0,TikTok,parky
258,sài rồi không biệt miền không bắc,1.0,TikTok,sài rồi không biệt miền không bắc
260,parky kc,1.0,TikTok,parky kc
261,parky,1.0,TikTok,parky
262,em namky,1.0,TikTok,em namky
263,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0,TikTok,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối
264,ua nam ki,1.0,TikTok,ua nam ki
265,kỹ đi party parky,1.0,TikTok,kỹ đi party parky
266,parky,1.0,TikTok,parky
267,cali,1.0,TikTok,cali
268,batman,1.0,TikTok,batman
269,parky,1.0,TikTok,parky
270,parky dịch tiếng việt rau,1.0,TikTok,parky dịch tiếng việt rau
271,parky,1.0,TikTok,parky
272,quen cali,1.0,TikTok,quen cali
273,cali,1.0,TikTok,cali
274,lũ parky em,1.0,TikTok,lũ parky em
275,parky chào namrky,1.0,TikTok,parky chào namrky
276,bắc trung nam đất chữ khúc ruột,2.0,TikTok,bắc trung nam đất chữ khúc ruột
277,yêu tổ_quốc yêu đồng_bào,2.0,TikTok,yêu tổ_quốc yêu đồng_bào
278,parky cay lắm,1.0,TikTok,parky cay lắm
279,tayky chào parky,1.0,TikTok,tayky chào parky
280,namky chào,1.0,TikTok,namky chào
281,parky,1.0,TikTok,parky
282,chào parky,1.0,TikTok,chào parky
283,cali,1.0,TikTok,cali
284,cali,1.0,TikTok,cali
285,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0,TikTok,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối
286,tách pake,1.0,TikTok,tách pake
287,mấy thành cali với phân_biệt vùng miền,1.0,TikTok,mấy thành cali với phân_biệt vùng miền
288,thèm bắc tụi mày tách nha,1.0,TikTok,thèm bắc tụi mày tách nha
289,núng nà cali,1.0,TikTok,núng nà cali
290,parky,1.0,TikTok,parky
291,parky,1.0,TikTok,parky
292,parky,1.0,TikTok,parky
293,parky nhột,1.0,TikTok,parky nhột
294,parky ta thiệt,1.0,TikTok,parky ta thiệt
295,parky,1.0,TikTok,parky
296,no parky lạnh_lùng boi,1.0,TikTok,no parky lạnh_lùng boi
297,parky,1.0,TikTok,parky
298,parky cay,1.0,TikTok,parky cay
299,chào parky nha,1.0,TikTok,chào parky nha
300,thảo dạo lướt đọc parky,1.0,TikTok,thảo dạo lướt đọc parky
301,parky,1.0,TikTok,parky
302,parky,1.0,TikTok,parky
303,parky vậy đấy,1.0,TikTok,parky vậy đấy
304,tiếng cali tiếng cali dịch,1.0,TikTok,tiếng cali tiếng cali dịch
305,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0,TikTok,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối
306,chào cali,1.0,TikTok,chào cali
307,bắc cầy chó,1.0,TikTok,bắc cầy chó
308,mocoiki,1.0,TikTok,mocoiki
309,cali,1.0,TikTok,cali
310,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0,TikTok,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối
311,việt_nam duongdereview learnontiktok mcv,2.0,TikTok,việt_nam duongdereview learnontiktok mcv
312,hn ô_nhiễm giới kìa đợt tẩy parky rùi,1.0,TikTok,hn ô_nhiễm giới kìa đợt tẩy parky rùi
313,dân bắc tranh_giành quyền_lực cơm_gạo miền nam giành bắc giải_phóng,1.0,TikTok,dân bắc tranh_giành quyền_lực cơm_gạo miền nam giành bắc giải_phóng
314,parky,1.0,TikTok,parky
315,đmn miền trung miền nam đánh parky,1.0,TikTok,đmn miền trung miền nam đánh parky
316,parky cay,1.0,TikTok,parky cay
317,parky,1.0,TikTok,parky
318,parky bắc cụ,1.0,TikTok,parky bắc cụ
319,trung_quốc parky bọn mày đô_hộ,1.0,TikTok,trung_quốc parky bọn mày đô_hộ
320,parky thượng lắm nhật hàn bình_dương đồng_nai sài_gòn vô_danh sách_đen doanh_nghiệp cty người ta sợ,1.0,TikTok,parky thượng lắm nhật hàn bình_dương đồng_nai sài_gòn vô_danh sách_đen doanh_nghiệp cty người ta sợ
321,parky khóc khóc to đừng ngại_ngần,1.0,TikTok,parky khóc khóc to đừng ngại_ngần
322,parky tụi mày không liên xô trung_quốc gì tụi mày gì,1.0,TikTok,parky tụi mày không liên xô trung_quốc gì tụi mày gì
323,tao định_kiến nè parky parky parky,1.0,TikTok,tao định_kiến nè parky parky parky
324,parky parky parky quan_trọng,1.0,TikTok,parky parky parky quan_trọng
325,parky xưa nghèo_đói nam kiếm,1.0,TikTok,parky xưa nghèo_đói nam kiếm
