,Unnamed: 0,Nội dung
73,73,Đã nói tiếng việt thì ta là một nhà chung 1 quê hương mỗi vùng miền thì cách sống khác nhau ko nên làm v mà nên hoà nhập hơn
74,74,Đề nghị khi đăng kí Tài khoản tiktok nên xác minh cccd. ko xác thực đc thì ko đc dùng tiktok
75,75,@Comtamsuonbicha đúng là phi văn hoá 
76,76,"Đấy toàn âm mưu của bọn chống phá đó thế mà Mn cũng tin, độc lập tự do ko muốn thích làm nô nệ"
77,77,tôi nói ntn. người miền bắc có thể vào miền nam làm ăn rất thoải mái. còn người miền nam ra bắc làm ăn xem có bị dân địa phương ăn hiếp ko?
78,78,nói thật nói đúng lại bảo do nhận thức
79,79,"Vtv chuẩn quá, gần đây đọc bình luận vô cùng ức chế"
80,80,"trên mạng:
ngoài đời:"
81,81,mt ko Phan biet nhé...
82,82,bắc nôm khác nhau 2 văn hóa 
83,83,"tôi chưa bao giờ phân biệt , nhưng tôi chạy taxi ở sài gòn là tôi sợ chở người bắc . 1 số người cực khó chịu"
84,84,Tiktok nên khóa những cmt đó lại
85,85,thế thì chặn tiktok khỏi vn là đc
86,86,"Vì vậy có những ngưòi chê thanh hóa nghệ an,rồi sao ko nghĩ người khác đang chê mình đấy."
87,87,Tao toàn gọi là bắc cày
88,88,mk thấy đa số toàn ng miền nam phân biệt vùng miền trk rồi ng miền bắc mới ns lại
89,89,"MB thì chả pbvm đâu, sao chẳng thấy đưa tin MN ra Bắc chơi bị MB đối xử pbvm nhỉ, thế những hành động của MB đấy có bị phạt ko "
90,90,Báo cáo cmt như v mà tiktok k khoá từ đấy lại nhờ 
91,91,tiktok nên khóa tài khoản những ai có sử dụng từ ngữ phân biệt vùng miền
92,92,mình ko phân biệt nhưng ko bao giờ lấy người bắc..con rơi con rớt từ bắc vào nam..
93,93,người miên nam chúng tôi khinh bỉ những người phân biệt vùng miền. Bắc Nam 1 nhà.
94,94,Bây giờ thì chỉ cần nhà nước yêu cầu nền tảng cấm chat máy từ ngữ như thế là xong 
95,95,Mục đích chính:câu tim và 99+
96,96,"Cuối cùng cũng nói lên được tiếng lòng của mình, mấy bữa này lướt tới cmt nào cũng thấy gây chia rẽ đoàn kết "
97,97,VTV cũng là Park nên bênh Park
98,98,chửi kinh thật 
99,99,"Cứ thế này thì 1,2 năm nữa khả năng sẽ có chiến tranh"
100,100,người miền Păk năm 1954 khác người miền Păk năm 1975 nhiều lắm
101,101,dân trong nước còn tự phân biệt lẫn nhau thì cái đất nước vịt nôm này đi về đâu
102,102,T miền Tây lại cực thích miền Trung và cực phục ng miền Bắc. Hơizzzz
103,103, Nhìu khi phải xử lý vấn đề gốc rễ trước. Tại sao gần 50 năm mà vụ này vẫn còn tồn tại 
104,104,Bọn phản động kích động đấy
105,105,Thế miền trung ở giữa thì sao k ai nói à
106,106,rất dễ gây chia rẽ để thế lực thù địch bên ngoài thâu tóm chia rẽ đất nước
107,107,Hâud như toàn các em khăn quàng đỏ. Mắc hiệu ứng đám đông nên mn chỉ cần report chứ ko phải đáp trả lại nv
108,108,"1. Yêu Tổ quốc, yêu đồng bào
2. Học tập tốt, lao động tốt
3. Đoàn kết tốt, kỷ luật tốt
4. Giữ gì vệ sinh thật tốt
5. Khiêm tốn, thật thà, dũng cảm"
109,109,"Park Ky là gì vậy mọi người, sao đi đâu cũng thấy comment vậy"
110,110,từ Trịnh Nguyễn đã có trend này rồi
111,111,Sao mấy mạng xã hội k giới hạn thêm mấy từ đó vào như mấy từ chửi bậy í là hết cãi nhau rùng beng
112,112,ở đâu cũng có ng này ng kia nhưng cùng trung tổ quốc ♥️
113,113,Ra miền ngoài chơi. Họ sao cũng có nhiều ng hỏi gái miền tây à. R cười kiểu sao á. Ê tui k phân biệt đừng ai phân biệt tui là dc
114,114,Là do bọn phản động nó kích động đấy
115,115,Có ai ở đây là monkey ko :))
116,116,Học thức văn hóa chán
117,117,
118,118,Nghe buồn thiệt
119,119,bây giờ phân biệt ở tik tok chụp hình rồi báo ca 
120,120,@DangKhoa vtv...
121,121,phân biệt là do đâu do ý thức con nguoi .bình đẳng sống nói chuyen với nhau thì làm gì có phân bị cự cải nhau tất cả ai cũng muong hơn thua nên tự ái
122,122,tôi là người miền Nam nhưng mình rất thích những người miền Trung và miền bắc vậy tại sao lại có người phân biệt vùng miền chứ
123,123,@ngx manh minh m kiểu
124,124,"Đấy địch là hội nnay chứ sao, đọc cmt mấy video chán luôn"
125,125,@Mèo Con Đang Dẫm kkk
126,126,Ko thấy mấy đứa cmt pbvm ở đây nhỉ....
127,127,cái đẹp thì nói tp hồ chí minh xấu cái said gòn mụ nội tui ko phân biệt mới lạ
128,128,“bắc - trung - nam toàn người xa lạ nhưng sao tất cả ae cột trèo” HCH
129,129,"Kiểu, t đang bình thường, cái mấy thằng l miền Tây nó cứ nghe thấy giọng t qua game là n nhảy dựng lên ấy, mấy ông xem"
130,130,tất cả là do thg @nguyenvanvu21 chứ đâu
131,131,Phạt nặng vào cho nhớ
132,132,"Phân biệt rất nhiều, cực kì nhiều luôn á. Nhìn mà buồn không biết làm thế nào cho hết."
133,133,
134,134,diễn biến hòa bình
135,135,tao cay cái bọn này lắm nhưng k làm cách nào đk
136,136,"người miền nam ko phân biệt vùng miền, bọn người phân biệt vùng miền là bọn từ thế lực thù địch muốn chia rẽ dân tộc mình thôi, các bạn vô miền nam đi sẽ biết, nam bắc là 1 nhà"
137,137,Bực lắm ấy huhu
138,138,T thấy đa só ng lớn phân biệt xong giới trẻ phần nào bị ảnh hưởng rồi ăn sâu vào tiềm thức ấy
139,139,"nhức cái đầu nhất là vừa rồi mình có xem giải LQ , yè xem trong game luôn há kênh chat toàn pbvm rồi thô tục các thứ nữa , không ai quản luôn há ,chán"
140,140,Miền tây là khác biệt hả..? Hàng xóm của mình có người mb với cả mtrung vào nam lập nghiệp các bô lão bô làng dặn dò con trai mh là đừng bh quen gái miền tây ..????? Mấyb nói mb k phân biệc đi
141,141,cọn cali tạo ra cái trend này
142,142,Thực sự chán
143,143,Miền Trung từ Đà Nẵng vào Bình Thuận là dể thương. Còn Thanh-Nghệ- Tình thì ối dời ôi. Còn Paky thì ớn 
144,144,tui thấy ai bình luận phân biệt vùng miền là báo cáo hết 
145,145,cuối cùng cx lên báo
146,146,"Đoàn kết, đoàn kết, đại đoàn kết thành công, thành công, đại thành công ✊✊✊"
147,147,bị chia rẻ rồii
148,148,"Mình có vào Bắc du lịch và mình đi cùng team Miền Bắc mà các bạn nv phân biệt rõ ràng luôn, không care bọn mình ở MN."
149,149,"Hên quá mình không phải cái loại mà chửi những câu này :))), tính ra mình ko ăn học tới nơi tới chốn, nhưng cũng ko có thất học như vậy kkkk"
150,150,Thua
151,151,Lướt vô cmt toàn thấy vậy á. Chống phá chứ phân biệt gì 
152,152,Cuối cùng cũng lên tới VTV
153,153,"Quá sức phi văn hoá, đề nghị xử nghiêm !"
154,154,mxh giờ nguy hiểm lắm
155,155,Khởi nghĩa đi
156,156,bọn phân biệt vùng miền đâu r sao k thấy vào đây cmt nhỉ
157,157,"thật sự mình làm ở chỗ toàn người Bắc ngt làm mình có cảm giác cực kỳ khó chịu kể cả công việc và cách cư sử cá nhâ
mình không hề phân biệt vùng miền"
158,158,T ko hiểu sao? Các b có ăn có học mà lại phân biệt vùng miền ! Ko có bắc ko có nam các b có dc như ngày hnay ko?
159,159,ơ Cali vũ21 à 
160,160,Mong công an vào cuộc cho lên phường hết. Phạt tiền là sợ liền chứ gì đâu.
161,161,những người phân biệt đa số họ là người miền Nam
162,162,Tới rồi tới rồi
163,163,@thùy anh k8 Coi đi con gái
164,164,Rồi miền nào phân biệt gái miền Tây đồ đó  lên án dùm cái
165,165,người lớn tuổi còn pbvm nửa là
166,166,@Gia Huy
167,167,Nếu là người ăn học tới nơi tới chốn thì chẳng ai phân biệt kiểu vậy đâu
168,168,@Peter Tôm m hả
169,169,rồi có ngày cấm sd tiktok như bên Trung cấm dùng fb :)
170,170,Mình luôn phải phân biệt để biết cách đối nhân xử thế
171,171,chỉ phân biết mỗi hoa thanh quế
172,172,"Nói ra thì sợ đụng đến chính trị chứ giải phóng gần 50 năm r vẫn chưa hoà hợp được, cái này là do lối sông cũng như giáo dục 2 miền qá khác nhau"
173,173,@vivian. cúi cùng đã lên vtv1
174,174,ui xã hội vn vốn nó thế mà
175,175,Miền bắc vào sg chê sg bán bún chả hà nội mắc
176,176,Giặc chưa đánh lòng dân đã tan tác
177,177,Mn cứ bt điểu nó kêu mình là bakky thì mình cứ xem như là lời nói vui.vì tâm trạng mình nghĩ sao là mình tiêu cực liền
178,178,"m cũng ko pb nhưng chỗ m ở người bắc bán ở chợ. ra mua mà hỏi kì kèo chút là mấy bả chửi, còn cân thiếu nữa chứ. hỏi sao mà người nam đa số sợ vậy"
179,179,"Cứ chê Hàn Quốc k thống nhất được Nam-Bắc, trong khi Việt Nam thống nhất nhưng nội bộ thì phân biệt nhau :)"
180,180,"Nói chung bắc ích kỷ, keo, chửi thề nên đa phần ngkh kh thích nên bị v đoá "
181,181,nói thẳng ra toàn bọn miền nam phân biệt chứ chả miền nào như thế..
182,182,"Thôi hồi t đi phỏng vấn ở Sacombank, lúc đó t cũng nói nhiều từ lớ lớ Phú Yên, anh GĐ người Nha Trang kêu không tuyển mấy bạn nói giọng như em"
183,183,"3 miền 1 nhà trêu đùa cũng được, nhưng đa phần dạo này là bọn phản động hay sử dụng ngôn từ này"
184,184,Ai cũng là người VIỆT NAM vậy nên k được phân biệt vùng miền bất kỳ 1 ai cũng k được phân biệt vì ở đâu cũng có người tốt người sấu
185,185,@ đung mà
186,186,36 chúng mình hay bị nêu tên lắm 
187,187,
188,188,toàn cali khát nước vào bình luận chứ Việt Nam tôi không ai làm vậy
189,189,T đã chờ ngày này rất lâu cuối cùng cũng đã được vtv nhòm đến
190,190,đa phần bọn khơi mào phân biệt vùng miền là bọn cali
191,191,tại sao lại bị phân biệt vậy mng
192,192,"Bắc Trung Nam là 1 nhà là người Việt Nam tuy ko cùng màu da ko cùng dòng máu nhưng chúng ta cùng 1 lòng yêu nước,cùng là con dần Việt Nam "
193,193,kì cục thiệt .ai cũng là con người .phân biệt gì k biết
194,194,Cuối cùng cũng lên vtv . Mình người miền trung mà mình cũng búc xúc mấy ngày nay .
195,195,Phải xử phạt thật nặng một số đối tượng để có sự răn đe
196,196,Đâu sao ko thấy pbvm nhỉ
197,197,"tui từ Nam ra Bắc làm người miền Bắc cực kỳ ngọt ngào, giao tiếp khéo léo.
Nói chung vùng miền nào cũng có ng này người kia. Nói chung tui thích hết"
198,198,Cần vào cuộc để giải quyết những vấn nạn phân biệt vùng miền
199,199,Đâu cung có ng này ng kia. Nhưng nhìn chung thi ai cung biết r nói nhìu lam j
200,200,"Kêu Bắc kỳ thì lồng lộn lên, trong khi ngoài đó thì chê trong đây nghèo khổ, cái trend khoe trần gỗ toàn mấy đứa cmt kiểu “ tụi nam kỳ thèm lắm”"
201,201,"phân biệt vùng miền thì đa số dân miền Nam, mình dân miền Nam nên mình ko lạ, nét văn hoá này đa số của bọn trẻ con và của đám con cháu nguỵ"
202,202,mong công an sử thằng vũ 21 thật nặng cho những bọn ùa theo trào lưu pbvm để rút ra bài học cho bản thân
203,203, chuẩn
204,204,chỉ có mấy đứa kali hay vậy
205,205,t miền Bắc rất thích miền Nam giọng miền Nam nghe thích mà thôi các bạn ơi cùng 1 VN
206,206,ngoài vụ phân biệt vùng miền ra thì còn có vài thành phần phân biệt tỉnh thành nữa kiểu như chia rẽ tỉnh này tỉnh kia nữa
207,207,namkyky trungky paky 
208,208,@Tuấn Cảnh
209,209,Thoi đi t kh ghét ai hay vùng miền mà t hay thấy có đứa chê nói miền nam nghèo hay nầy kia t cũng kh thích
210,210,@nên coa luật tố cáo cho mấy vụ này
211,211,bảo sao vào thấy bl pk suốt mà ko hiểu gì
212,212,Cứ người VN thì chúng ta nên iu thương nhau nha các bạn iu
213,213,@Hiếu Vương hạn Híu hay bắt nạt mình nàyyyy
214,214,miền Tây cũng hay bị chê
215,215,sao ko thấy đứa nào vào cào nữa nhỉ.
216,216,"Mình không phân biệt gì ai hay vùng nào. Chỉ thấy mấy bạn nữ trong nam như Sài Gòn hay Kiên Giang nói ngọt dã man, như mật vậy "
217,217,@Trọng Hoàn
218,218,Ai bảo dập Hoa kiều chi h tui no tra thù đó 
219,219,"Nếu nói mn phân biệt thì làm gì có của cho địa phương khác tới sống ,"
220,220,VTV có thể yêu cầu TT block các kháng cáo phân biệt vùng miền ko ạ? mìn báo cáo hoài mà ko được nên thôi rồi 
221,221,ôi t chờ ngày này lâu lắm rồi.hqua có mấy đứa vào cmt vd của t là pakky t ns lại là đừng để bme bị ns là k biết dạy con
222,222,Khs tại sao lại cứ phải phân biệt nhau lmj
223,223,pakky
224,224,năm 2023 là một năm vinh danh những con bò chỉ được dắt mũi
225,225,việc học rất quan trọng 
226,226,chưa bao giờ có tư tưởng phân biệt vùng miền hay dân tộc gì luôn 
227,227,
228,228,Cali namky đang muốn chống phá Việt nam 
229,229,"tui thì rất thích người miền Bắc nói chuyện nhé: dạ dạ vâng vâng nghe nó đã lỗ tai gì đâu á, thật hay giả tính sau "
230,230,Dù nam bắc tôi vẫn mong nước việt thanh bình
231,231,Có đủ nhà tù để chứa bọn nó ko mà hù bắt với chả bớ 
232,232,mình Hà Nội vk Sài gòn(gốc miền tây)2 bên gia đình vui như tet suốt ngày.vk ck chưa bgio to tiếng
233,233,Bắt phạt thì mới khiếp được
234,234,Đúng rồi hay lắm
235,235,hôm giờ lướt tiktok. video nào cũng có từ bình luận backy. nghe buồn 
236,236,VN đứng đầu mà!!! Haizz
237,237,"mk ko có ý phân biệt đâu ạ , thật sự thì nhiều ng bắc khó chịu lắm , bn của mk đa số thì đều có những trải nghiệm ko vui với các bn miền bắc nên"
238,238,"Thằng nào nhậu hùng tiền trả thì là anh em hết, còn viện cớ bỏ về thì tao phân biệt ráng chịu"
239,239,Yess phải là như thế 
240,240,@Nguyễn Hoài Nam @Nguyễn Hữu Thịnh
241,241,"Đúng thật, bọn kích động nó có mục đích của nó. Chứ còn ng bthg vẫn hùa vào thì chịu"
242,242,@dmt @Leah Diamond bị vtv sờ gáy ròi:)))
243,243,@Khánh Nguyễn Shop 87
244,244,Vậy mà bọn Tik lại không xoá những comment như vậy. Chính quyền phải làm việc lại chấn chỉnh gấp.
245,245,mình nam. mà vẫn k thích kiểu này ạ
246,246,t mới thấy mấy ngày hôm nay
247,247,@dyx2h6alf72r
248,248,@Nguyễn Trung
249,249,
250,250,"Làm gì có miền nào kibo, miền nào phóng khoáng. tuỳ người và tuỳ kinh tế mỗi người. Người có trách nhiệm với gia đình thì tiêu xài bên ngoài cũng tính toán thôi.T người Sg cũng nghĩ trước khi xài tiền"
251,251,bake tụi mày bớt xạo lol lại là đc 
252,252,diễn biến hòa bình đấy. mọi người chú ý
253,253,"Đợt này hay thấy mnguoi khịa nhau lắm luôn,trước ko có thấy vậy"
254,254,Tôi miền bắc nhưng thích con gái miền nam nha
255,255,"Không phải người sống ở trong nước đâu, đám dân chủ cuội và đám ở bên kia thôi chứ tui người Nam không có nha"
256,256,@Nguyễn Thu 
257,257,@Pông lenggg 
258,258,"T thấy toàn MN phân biệt vùng miền thôi, lòng tự tôn dân tộc của ng MB cao nên đó là lý do cơ quan đầu não ở MB, bộ chính trị toàn người Miền Trung vs Bắc chứ ít ng MN sau bà NTK Ngân. Còn ở đâu cũng"
259,259,"ê có khi nào có nội gián bên TQ trà trộn vô đây để chia rẻ dân tộc hong ta, 1 thuyết âm mưu"
260,260,"bắc trung nam là 1 nhà 54 dân tộc anh em, Đoàn kết, Thành Công.
Việt Nam muôn năm"
261,261,@ẩㅤê_xD83D__xDCA5_
262,262,"hên mình người miền trung, Quảng Ngãi"
263,263,❤️❤️❤️
264,264,@Candace energy 
265,265,Mọi người phải hỏi tại s người Bắc bị như vậy
266,266,dữ vững tinh thần k phân biệt vùng miền .ae trên ba miền tổ quốc là một
267,267,@Phu Nhân Gojo chịu
268,268,Định danh tiktok
269,269,"đung roi phai lên án đi , sai lệch của gioi trẻ bay giờ thật sự đáng báo động"
270,270,Ngta nói nhau ko giận mà nhà báo bùn vậy
271,271,"do cách nghĩ mỗi ng,đâu cũng có ng này ng kia mà nhưng t thấy mấy khưa Nam nói ng Bắc chỉ cho vay nóng vay lãi đòi nợ "
272,272,Lê xuhuong liền đi chứ ạ
273,273,"đã chung 1 nước lại phân biệt với nhau, tha hoá 1 thế hệ trẻ"
274,274,@Nhan Nhan
275,275,tiếng lòng của t bao ngày nay
276,276,3 miền là ae một nhà ko nên phân biệt
277,277,Mình may mắn có những năm tháng đc sống ở cả 3 miền và mình nhận ra rằng vùng nào cũng có người ntn người ntk...
278,278," hình như giới trẻ ngày nay đã quên mất ô cha ta ngày xưa thương yêu đùm bọc ntn... còn bỏ cả xương máu vì nhau..."" tất cả vì Miền Nam ruột thịt.."""
279,279,@ @ÁiDi @Nồi cháo heo biết lắm mà
280,280,miền nào chả được ... cv ai nấy làm cơm nhà ai nấy ăn ... cùng chung lá cờ mà vùng với miền ... chán ghê
281,281,@không có thật cho chừa
282,282,VTV ki
283,283,@meomeo 
284,284,Thật đấy toàn thấy phân biệt
285,285,"Tiktok không phải của Việt Nam, người TQ, Cam cả thế giới biết tiếng Việt rất nhiều nên việc thấy những BL như thế chắc gì đã là người Việt sống tại Việt Nam?!?"
286,286,"Bh cứ định danh mọi tk , mồm đi xa đánh vào kinh tế luôn"
287,287,mấy thằng hay thích pbvm đâu vào đây cmt hộ t cái
288,288,"Mang nó lên đóng 7,5tr có tiền ngân sách lo cho trẻ em vùng núi"
289,289,@Lộc Đình
290,290,Đó giờ t ko nghĩ là t sống trong đất nước phân biệt vùng miền đến khi t lớn lên 
291,291,chờ ngày này lâu lắm rồi. thực sự rất khó chịu !!!
292,292,Quá buồn
293,293,Tui chơi liên quân toàn gặp PBVM
294,294,"Trong miền nam mà kêu bắc kì này kia đa số con nhà ko có học, vs gia đình theo giặc nên cay thôi chứ ng có học chả ai phân biệt cả."
295,295,@Ngô Xuân Lộc
296,296,Lời thật mất lòng
297,297,những vị trí quan trọng trong bộ máy nhà nước được mấy người miền nam nhỉ?do người miền nam không giỏi bằng miền bâc sao?tôi có những thắc mắc vậy
298,298,lên VTV hay như nào thì tình trạng vẫn xảy ra
299,299,ngựa ghê t bắc ninh còn chs với đứa tận TPHCM
300,300,Miền nào cũng là ở cái nước VN này thôi.
301,301,Tui dân miền Tây ra Bắc…còn khúc sao ai hiểu chưa vãi đạn lắm
302,302,Miền nào bênh miền đó chứ tốt đẹp j mà tranh luận 
303,303,đề nghị nhà nước kiểm soát tn
304,304,Tui chưa bh phân biệt nam hay bắc
305,305,sao em lại thấy cứ là mấy bạn cấp 1-2 tiếp cận mạnh xã hội sớm với bình luận á nhỉ. chứ em không nghĩ mấy anh chị 20 mấy tuổi mà bình luận như thế đâu nhỉ?
306,306,Được cái mình không phân biệt kiểu đó
307,307,@phetz @⋆⭒˚｡⋆txuan ⋆⭒˚｡⋆
308,308,Đây là chủ trương của những Cali boys cài vào ae nhé .. nếu k muốn mất nước VN thì nên tỉnh táo là vừa
309,309,@cimngan 
310,310,@Nguyễn Thị Huỳnh Linh
311,311,con người sinh ra đều có quyền Bình đẳng  
312,312,việt nam nên cấm tick tock luôn
313,313,"Miền Bắc trọng Danh, làm kinh tế giỏi. Miền Trung trọng Lợi, sống cần cù, tiết kiệm. Miền Nam trọng Nghĩa, làm văn hoá tốt. "
314,314,"""Tổng bí thư phải là miền Bắc"".Trọng said.
Nói như vậy ko phải là phân biệt vùng miền ak.
Pảky thì nói là pảky chứ nói sao nữa"
315,315,"T miền nam đã từng ra hn chơi, do k biết đường hỏi 1 người đi đường thì bị chửi "
316,316,Tại sao Bác và anh hùng đã hi sinh để thống nhất đất nước mà các bạn lại phân biệt chi. Ở đâu cũng có người này người kia thôi. 1 lớp có 40 đứa
317,317,t con trai Miền Bắc nhưng t thích con gái trên toàn đất nước Việt Nam
318,318,team kh phân biệt vùng miền ✌️
319,319,Nam Bắc một nhà
320,320,Mấy hôm nay rất bực vì tình trạng này
321,321,lên sử phạt thật nặng những người phân biệt vùng miền
322,322,"Không biết sao ấy mình từ sg bay ra thủ đô cảm.giác bị phân biệt trong cách phục vụ làm tủi thân lắm, là người VN cả mà"
323,323,sao không còn thấy ai vào cmt phân biệt vùng miền nữa nhỉ 
324,324,@Airiii @user57157254291 @haan2900 nên chấm VTV bao đỉm nè mấy chế 
325,325,"Hơn 1,2tr liệt sỹ đã hy sinh trong các cuộc chiến để bảo vệ 2 miền nam bắc , cho dù bắ hay nam họ đều chung lú tưởng giải phóng khỏi thực dân đô hộ"
326,326,"MBắc phân biệt vùng miền và phân biệt dân tộc lắm ạ. Mh là dt Nùng lấy Ck kinh toàn bị nói là con dân tọc, có lần bị chửi là dân tộc k có ăn học"
327,327,Miền nào cũng có người tốt người xấu
328,328,Sao dễ cãi nhau vậy trời
329,329,Cứ đổ người bắc. Đợt 2015 t vào nam làm ở nhà trọ nguyên dãy ấy mỗi t ng bắc. Thế mà tháng mất 3 đôi dép
330,330,phân biệt đc j??
331,331,Ra cái luật định danh tài khoản xã hội ấy cộng thêm cái bắt đặt máy chủ tại việt nam
332,332,"1 là định danh,ko định danh ko cho cmt vs tim như douyin ấy"
333,333,Bế hết cứ phát mỗi bé tờ giấy 10 củ là oke ngay
334,334,"Mình gái Miền Tây lấy ck Bắc,thấy nhiều người PBVM thấy khó xử ghê.Hic"
335,335,"Chỉ im lặng , ko muốn chửi nhau"
336,336,Sao bạn kiểm duyệt tốp tốp k dẹp hết đi
337,337, [写真]
338,338,"Trên mxh thì thấy nhiều bạn Miền Nam chê ng Bắc, nhưng những bạn ng Nam mình gặp thì lại cực kì thân thiện luôn"
339,339,Tui là người miền trung. Tui thấy người miền nào cũng dễ thương hết. Còn vấn đề tốt xấu là ở mỗi cá nhân :))))
340,340,tui miền nam nhưng tui thich con gai miền bắc nha
341,341,vào đây đọc cmt ko thấy 1 chữ PK nào luôn kìa 
342,342,tôi chờ cái video này gần 1 tháng rồi
343,343,Thằng nào phân biệt vùng miền gây chia rẽ dân tộc cứ phạt 100tr tống vào tù khác sợ ngay
