Unnamed: 0,Content,Label
55,parky cút,1.0
56,nguỵ nô gào_thét,1.0
57,parky phá nát khắp,1.0
58,parky gốc ôg cố nội bọn tôi vậy hk parky giờ nam suớbg rồi,1.0
59,parky rau_muống chấm pịa,1.0
60,không parky miền nam hàn_quốc parky kỳ ích_kỷ sống không được,1.0
61,parky sống kikikiki,1.0
62,ta xưa tôi gọi ta gọi parky,1.0
63,danh may thằng parky,1.0
64,parky sống bận tôi miền trung,1.0
65,đi dân ghét xklđ khôn lõi trộm_cắp kêu phân biệt vùng miền,1.0
66,bắc giỏi lo thân sống tập_thể kéo tập_thể đi,1.0
67,địa namki cay,1.0
68,tổ_tiên người việt miền nam người bắc đấy người miền nam gốc người gốc khơ me không người bắc dẹp chiêm thành khai_hoang miền nam,1.0
69,không bắc đéo vnch lun miền nam đéo tụi đòi miền nam hàn_quốc,1.0
70,cali sống chó,1.0
71,parky sống pịa,1.0
72,tao gọi mày nằm kì,1.0
73,gọi miền nam bọn mày cali,1.0
74,đéo miền bắc mẹ mày sống,1.0
75,nạn đói không miền nam miền bắc mày chết,1.0
76,ảo vc người mỏ mk thơm mày dạng parky không bắc,1.0
77,mấy thằng dân bọ oai,1.0
78,đi miền trung thời xưa toàn phe miền bắc đi đánh bọn namkiki cứu đừng danh miền trung namkiki,1.0
79,parky,1.0
80,parky chửi cali mỹ nail parky mong mỹ kiếm sống,1.0
81,ghét parky ta,1.0
82,miền nam paki,1.0
83,kia bắc sống tình_cảm,2.0
84,rau_muống cá_rô_phi gia_trưởng,1.0
85,parky,1.0
86,parky cay,1.0
87,miền nam chào parky kia nhá,1.0
88,tôi party,1.0
89,nam bắc …,2.0
90,party,1.0
91,parky cay,1.0
92,parky cay cay cay,1.0
93,parky cay,1.0
94,parky cay,1.0
95,dương parky,1.0
96,việt_nam ta,2.0
97,parky,1.0
98,parky tiếng,1.0
99,parky cay,1.0
100,không lẽ buồn parky buồn lắm,1.0
101,calikiki,1.0
102,kiki xương nè,1.0
103,hiền cali,1.0
104,jack,1.0
105,parky giải,1.0
106,parky,1.0
107,hoa thiên quế chào em chào namke pakyr,1.0
108,miền nam chào khắp đất nhá,2.0
109,parky,1.0
110,bọn nguỵ nô,1.0
111,đi nam tưởng thân_thiện ngờ,1.0
112,thèm_thuồng bắc kỳ nhường,1.0
113,cali,1.0
114,người calikiki,1.0
115,Việt Nam chia_rẽ cali đợ,1.0
116,mày bọn tao namkiki mày,1.0
117,parky gái namkiki,1.0
118,a mấy cali nè,1.0
119,parky chào narky,1.0
120,cali,1.0
121,cali,1.0
122,ta gọi đồng_bào ♥ ️,1.0
123,miền nam quý_mến miền bắc,2.0
124,parky,1.0
125,tôi miền nam thik người bắc giọng ấm ~ cực,2.0
126,parky,1.0
127,parky hơi lạnh đọc boa ky,1.0
128,parky cay,1.0
129,cali,1.0
130,… anh em miền nam miền trung parky vui,1.0
131,đr vui cali,1.0
132,cali nek mày miền nam_trung bắc gì tôi miền trung tiếng tất anh em miền trung không thèm anh em với calicon haha,1.0
133,cali,1.0
134,tui nè miền bắc dth lắm,2.0
135,cali,1.0
136,nai kỳ,1.0
137,bắc parky 1 thành cay_cú sống không tử_tế với nhột,1.0
138,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
139,gái parky a mún đớp em 1,1.0
140,chả không chả nhẽ ngọng namkiki,1.0
141,namkiki,1.0
142,miền bắc chào batman,1.0
143,việt_nam # duongdereview # learnontiktok # mcv,2.0
144,zậy tôi namky bình parky giãy đành_đạch zay,1.0
145,parky chúa,1.0
146,nha việt ta 1 dòng 1 1 dòng máu ok giải_phóng miền nam miền bắc chiến_sĩ hai miền giúp_đỡ,2.0
147,parky qạo namky co qạo,1.0
148,parky mãi mõm,1.0
149,parky xấu miền nam,1.0
150,parky dãy nảy lôi chínhtrị chia_rẽ phản_động blabla không người ta ghét văn_hoá khôn_lỏi kiêu_ngạo,1.0
151,parky đi báo,1.0
152,parky lỏ,1.0
153,parky tan_hoang,1.0
154,lũ parky quơ đũa nắm,1.0
155,parky nhãy dựng_hà,1.0
156,không mướn không parky miền nam sống đừng vô phá_hoại thoi parky chỗ cút chỗ đi bớt không,1.0
157,parky cay đỏ dé,1.0
158,parky dãy nảy lôi chínhtrị chia_rẽ phản_động blabla không người ta ghét văn_hoá khôn_lỏi kiêu_ngạo,1.0
159,parky rau_muống chấm chubin,1.0
160,parky,1.0
161,parky cay,1.0
162,namky trungky không parky tụi nhảy_dựng hài thiệt,1.0
163,parky lôi trị phản_biện thực_tế văn_hoá người người kia bắc đa,1.0
164,tht tui bảo cali cali gì tôi không nx ns,1.0
165,cali que kid,1.0
166,dân địa namki cay,1.0
167,namki cay,1.0
168,namki ngầu tht,1.0
169,kikiki,1.0
170,lôi hộ tao chứng 10 % bắc cali,1.0
171,the gio tôi noi lai thi lai spam cay parky,1.0
172,5 kiki bút ku mẽo sướng xâm_lược = ),1.0
173,siêu parky,1.0
174,parky gia trưởg lươn_lẹo kiêu_ngạo độc_đoán coi bĩu môi dè_bỉu thái_độ khinh_bỉ gian_xảo lừa_lọc … không nhiên ghét,1.0
175,namky thịt chó,1.0
176,dân địa namki cay,1.0
177,namki parky trợ nhục hảem không bọn namki bọn mày gặm bình oxi,1.0
178,mày thử miền trung gọi trung kỳ vỡ alo lũ tây nội_địa mày hào gọi namki,1.0
179,parky miền nam xưa miền nam parky đói,1.0
180,parky pịa đi,1.0
181,parky parky,1.0
182,parky,1.0
183,parky nen đì ngược trung_quốc tổ_tiên,1.0
184,parky cay,1.0
185,parky chán lắm,1.0
186,không parky miền nam không parky miền nam không parky,1.0
187,phân_biệt miền parky,1.0
188,parky bận ninja siêu_thị cửa_hàng nhật,1.0
189,lặng_lẽ đọc phân_tích phân biệt vùng miền kết_luận việt_nam nam_trung parky,1.0
190,gốc parky gọi parky nhể,1.0
191,parky xâm_chiếm miền nam,1.0
192,parky ngu chó,1.0
193,parky,1.0
194,parky lý_lẽ,1.0
195,parky,1.0
196,không parky lm rau_muống,1.0
197,đa sống miền bắc hơi láo kg ( đói tội no mồm to ô nội del dân miền nam kg phân_biệt,1.0
198,bake hả bạn,1.0
199,cali nhảy đành_đạch,1.0
200,parky truyền_kiếp parky c y tr quốc,1.0
201,truoc thang ho chua cu op mien bac nguoi mien bắc giàu,1.0
202,calicon,1.0
203,ducangky,1.0
204,dân địa namki cay,1.0
205,cali quỳ đất a,1.0
206,namki cai_trị cay,1.0
207,sơn bọn pakyr tức vcl bọn khinh vl coi minh cướp,1.0
208,5 ki cx chán lắm rồi,1.0
209,neu không co paky thi miền nam se không khổ,1.0
210,miền nam bắc thành bắc bẩn tức chửi parky kì thiệt,1.0
212,tung_hô parky 1 không bu cắn đấy,1.0
213,miền nam gọi n kỳ miền bắc kêu_gọi xưa bạn kỳ sồn_sồn,1.0
214,bạn kỳ tr kỳ n kỳ gọi thời xưa gọi gì sai àh xưa ta gọi,1.0
215,thằng tây nội đi chia_sẻ,1.0
216,bắt được thằng tây nội_địa ngậm bịa cali,1.0
217,culi không đi học bạn tôi dân_trí đấy ngòi bắc ),1.0
218,namky khôn ha covid đói gặm bình oxi,1.0
219,mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư,1.0
220,chia zui đi vi cháu hk fai người parky fai zui chư bùn gì,1.0
221,thực parky hàn_quốc quan_hệ huyết_thống không bạn hq park ki ),1.0
222,parky vẻ,1.0
223,không miền nam parky,1.0
224,parky cá_rô,1.0
225,parky cay,1.0
226,parky khóc,1.0
227,má không parky miền hách_dịch,1.0
228,parky đi phá chỗ đấy,1.0
229,parky cay,1.0
230,mượn bk giải_phóng,1.0
231,cay hả parky,1.0
232,parky kiu parky giờ kiu giờ kiu giận khăn vá,1.0
233,parky cay,1.0
234,parky,1.0
235,parky,1.0
236,parky cấm xkld,1.0
237,parky thương,1.0
238,parky phân biệt vùng miền phân_biệt dân 36 37 hn1 hn2,1.0
239,tao mắc_cười chỗ chiến_dịch giải_thống miền bắc miền nam tham_gia không công chất parky,1.0
240,parky hàn nhật sợ,1.0
241,được đi học không kalicho,1.0
242,vd nhá mày trc xóm mày 1 chó 2 k03tung dại miệng xùi bọt mép mắt long sòng xọc người cắn mồm xủa parky,1.0
243,kikiki,1.0
244,miền nam đi phân_biệt miền dân chí miền nam học_thức kém,1.0
245,không parky lò mày đi,1.0
246,) parky thời vua hùng ) khai_hoang 5 cày cmay đấy,1.0
247,@ tây nội_địa pịa cali mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư,1.0
248,@ nhựt võ parky p = phá_hoại a = cháo đá bát rồi = rô không = không yeu y = yêu trung_quốc,1.0
249,namky khóc,1.0
250,kiki gặm xương không,1.0
251,chủi bọn dân lưu_vong thất_bại cay 75 chui_rúc đất việt_nam,1.0
252,namkiki phốt câu thối,1.0
253,nam bọn phản_động bây giờ culi kêu không giải_phóng,1.0
254,parky chỗ tôi phá điên,1.0
255,việt_nam # duongdereview # learnontiktok # mcv,2.0
256,❤ ️ a parky,1.0
257,parky,1.0
258,sài rồi không biệt miền không bắc,1.0
260,parky kc,1.0
261,parky,1.0
262,em namky,1.0
263,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
264,ua nam ki,1.0
265,kỹ đi party parky = ),1.0
266,parky,1.0
267,cali,1.0
268,batman,1.0
269,parky,1.0
270,parky dịch tiếng việt rau,1.0
271,parky,1.0
272,quen cali,1.0
273,cali,1.0
274,lũ parky em,1.0
275,parky chào namrky,1.0
276,bắc trung nam đất chữ s khúc ruột,2.0
277,1 yêu tổ_quốc yêu đồng_bào,2.0
278,parky cay lắm,1.0
279,tayky chào parky,1.0
280,namky chào,1.0
281,parky,1.0
282,chào parky,1.0
283,cali,1.0
284,cali,1.0
285,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
286,tách pake,1.0
287,mấy thành cali với phân biệt vùng miền,1.0
288,thèm bắc tụi mày tách nha,1.0
289,núng nà cali,1.0
290,parky,1.0
291,parky,1.0
292,parky,1.0
293,parky nhột = ),1.0
294,parky ta thiệt,1.0
295,parky,1.0
296,no parky lạnh_lùng boi,1.0
297,[ parky ],1.0
298,parky cay,1.0
299,chào parky nha,1.0
300,thảo dạo lướt đọc parky,1.0
301,parky,1.0
302,parky,1.0
303,parky vậy đấy,1.0
304,tiếng cali tiếng cali dịch,1.0
305,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
306,chào cali,1.0
307,bắc cầy chó,1.0
308,mocoiki,1.0
309,cali,1.0
310,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
311,việt_nam # duongdereview # learnontiktok # mcv,2.0
312,hn ô_nhiễm 2 giới kìa đợt tẩy parky rùi,1.0
313,dân bắc tranh_giành quyền_lực cơm_gạo miền nam giành bắc giải_phóng,1.0
314,parky,1.0
315,đmn miền trung miền nam đánh parky,1.0
316,parky cay,1.0
317,parky,1.0
318,parky bắc cụ,1.0
319,trung_quốc parky bọn mày 10 đô_hộ,1.0
320,parky thượng lắm nhật hàn bình_dương đồng_nai sài_gòn vô_danh sách_đen doanh_nghiệp cty người ta sợ,1.0
321,parky khóc khóc to đừng ngại_ngần,1.0
322,parky tụi mày không liên xô trung_quốc gì tụi mày gì,1.0
323,tao định_kiến nè parky parky parky,1.0
324,parky parky parky quan_trọng,1.0
325,parky xưa nghèo_đói nam kiếm,1.0
326,nghĩa parky cay lắm,1.0
327,parky không miền nam giờ hawai nhit,1.0
328,khóc thuê parky,1.0
329,parky ghét lửa khói,1.0
330,điền chỗ trống parky rau,1.0
331,parky cay,1.0
332,kiki ều ều chặc chặc,1.0
333,3 ke,1.0
334,cay hả parky,1.0
335,kikiki,1.0
336,nailky lo chà chân + ngửi rắm tây không dí bây,1.0
337,batman,1.0
338,không parky tụ tôi gớp sức giải_phóng gì mày đời rồi tư thua nít,1.0
339,giải_phóng rồi nam kiếm thoi bắc chết đói,1.0
340,cali,1.0
341,parky paả parky,1.0
342,namkiki,1.0
343,lũ hèn_nhát nô_lệ ngoại_bang đổi giàu ah bọn tôi không hồ tất chư không bao giờ nô_lệ cali,1.0
344,namki khóc thương mẹ,1.0
345,không trung_quốc parky,1.0
346,không parky miền nam tôi tôi mắc_cỡ giùm parky,1.0
347,kêu namky hk giận kêu batky giận,1.0
348,không parky vỹ tuyến 47 trở_thành hàn_quốc,1.0
349,parky cá xương nam kỳ nhặt kho tương dần,1.0
350,parky quậy kinh,1.0
351,đừng thoát không parky s miền nam âu khái_niệm vậy không parky không lẽ miền nam biến đồ miền nam hiện giờ hùng giàu cod thể nam hàn,1.0
352,parky phá nát miền nam,1.0
353,không parky miền nam,1.0
354,parky,1.0
355,tụi bây dừng đi đừng hở tí parky parky kia parky parky parky parky parky hoài,1.0
356,parky cay,1.0
357,lịch tụi mấy thằng parky đem món pịa,1.0
358,parky xưa khổ không cơm giờ khổ miền nam tiềm kế sinh_nhai,1.0
359,parky,1.0
360,parky,1.0
361,parky giải_phóng miền nam,1.0
362,đa tui người miền bắt được người niềm bắt nha thây đổi kiến nguyên kiến,1.0
363,điền chỗ trống namky cơm ( pháp ),1.0
364,cali cay không nc,1.0
365,cali cay,1.0
366,không mỹ cali,1.0
367,không mỹ parky xe_đạp không đi đ internet xài,1.0
368,miền nam đô_hộ đội miền bắc giải_cứu sót thằng cali không xưa người dân đô_hộ khổ phỉnh tây chửi miền bắc parky,1.0
369,sai miền nam thơ nè parky cá_rô_phi nhầm lưu đạn chêt parky,1.0
370,nhóc mày thơ_văn lí_luận packy,1.0
371,không người việt rồi avatar nhok parky,1.0
372,rồi 30/4 parky phá nát miền nam mày đấy,1.0
373,đem thuế parky,1.0
374,người gốc parky người ta bảo parky bọn đa sống … lắm dơ ước được sinh miền nam người miền nam,1.0
375,parky namki,1.0
376,naman mày với nhậu xuất lá muấn xây bê_tông nòi ging khmer,1.0
377,helo parky,1.0
378,hào parky,1.0
379,namky chào parky,1.0
380,tôi parky công_viên bãi đỗ xe,1.0
381,cali hùa,1.0
382,parky rau_muống cá_rô,1.0
383,ducangky khát,1.0
384,bar where ducanger,1.0
385,cali,1.0
386,parky không,1.0
387,kêu parky nhảy_dựng kêu namky ta vui,1.0
388,yêu tổ_quốc yêu đồng_bào,2.0
389,parky,1.0
390,parky soạn_văn bao,1.0
391,parky,1.0
392,parky,1.0
393,parky,1.0
394,parky bực_bội,1.0
395,parky cay,1.0
396,parky cay,1.0
397,nam bắc,2.0
398,oimeoi parky phóng_khoáng,1.0
399,cali,1.0
400,namkiki cay,1.0
401,parky cay,1.0
402,cali,1.0
403,cali kh học,1.0
404,cali,1.0
405,cali,1.0
406,cali,1.0
407,việt_nam # duongdereview # learnontiktok # mcv,2.0
408,việt_nam # duongdereview # learnontiktok # mcv,2.0
409,việt_nam # duongdereview # learnontiktok # mcv,2.0
410,việt_nam # duongdereview # learnontiktok # mcv,2.0
411,bac nam mot nha,2.0
412,1 yêu tổ_quốc yêu đồng_bào,2.0
413,parky giảng,1.0
414,miền bạn chào nam kiki nhá,1.0
415,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
416,parky bữa mời tôi rau mún bữa coi,1.0
417,parky chào parky,1.0
418,parky với thanks hoá,1.0
419,nam bắc mãi_mãi,2.0
420,parky giáo_huấn,1.0
421,parky,1.0
422,bakes,1.0
423,parky,1.0
424,parky công_viên a,1.0
425,parky cay,1.0
426,parky chào namky,1.0
427,nam bắc,2.0
428,páo ki,1.0
429,miền nam chào đồng_bào miền trung miền bắc ❤,2.0
430,namkikithất trận cay_cú lắm cay không dám mạng chửi thảm_hại đám yếu_đuối,1.0
431,cali,1.0
432,kiêmd view tred parky,1.0
433,namky chào parky,1.0
434,Việt Nam kà 1 1 paky,1.0
435,namkiki,1.0
436,không đổi thành party,1.0
437,cali cay cải kìa,1.0
438,không parky,1.0
439,parky,1.0
440,parky,1.0
441,parky,1.0
442,parky cay,1.0
443,parky,1.0
444,parky tiếng coi,1.0
445,parky,1.0
446,parky giải,1.0
447,parky giải,1.0
448,parky noi tieng cay không,1.0
449,cali cay,1.0
450,parky cay,1.0
451,cali,1.0
452,cali cay1 trần thái khang cay10,1.0
453,đấy bọn 5 kiki giải_phóng,1.0
454,cali kiki,1.0
455,cali,1.0
456,cali,1.0
457,namki mày được hồn đâuquanh quẩn mấy ba kikhổ lắm cali namki ui,1.0
458,parky,1.0
459,toàn bọn cali không ơn hồ,1.0
460,cali,1.0
461,chia buồn ứu gia_đình parky,1.0
462,cali giỏi tv,1.0
463,namkiki,1.0
464,em miền bắc quý anh em miền nam miền trung,2.0
465,parky,1.0
466,parky,1.0
467,parky tiếng,1.0
468,dương parky không,1.0
469,chổ gọi miền bắc parky người bắc thân_thiện = ),1.0
470,solo đi parky nhìu,1.0
471,đường thử parky ),1.0
472,việt_nam # duongdereview # learnontiktok # mcv,2.0
473,parky im,1.0
474,batman,1.0
475,câm bọn namky tụi mày trèo đầu,1.0
476,đường namky khởi_nghĩa không đường parky khởi_nghĩa parky tụi miền bắc tụi ớn lắm,1.0
477,đừng gọi parky,1.0
478,không gọi parky gọi bake hén,1.0
479,cali,1.0
480,paky hổ báo ^,1.0
481,mày đường khéo cảnh_sát khoá mõm đấy cali,1.0
482,namki sống chó,1.0
483,party cay,1.0
484,nam bắc đi phân_tích đất chia_cắt đôi chia_cắt đôi,2.0
485,helo parky,1.0
486,parky this that tui quản_lý lãnh_đạo parky khăn thiệt phát_biểu dân namky tui,1.0
487,parky giải hoài,1.0
488,namky chào parky,1.0
489,hồ việt_nam ta hai đất ta hàn_quốc triều_tiên đừng chia đôi,2.0
490,a parky không em văn_minh love you,1.0
491,cali đầu_tư hẳn tiếng việt nè,1.0
492,parky tv vid kìa,1.0
493,namkiki,1.0
494,kém đi chê nam kiki nha,1.0
495,cali động ngoan ngoan khúc xương bé gặm nha,1.0
496,cali cay cải hoài,1.0
497,cá_rô không ta,1.0
498,parky khóc,1.0
499,may parky,1.0
500,parky ní nuận,1.0
501,parky giải,1.0
502,nguyên xóm tôi toàn packy,1.0
503,nam kỳ noá khinh hồn,1.0
504,cá_rô,1.0
505,việt_nam # duongdereview # learnontiktok # mcv,2.0
506,tôi miền nam học với toàn bắc tôi thương cmay phân_biệt,2.0
507,parkour,1.0
508,parky tiếng séc xúc_xích nha,1.0
509,parky giá_lạnh ok,1.0
510,parky,1.0
511,parky ❎ namkiki ❎ miền bắc ✅ miền nam ✅ phân biệt vùng miền,2.0
512,parky sống đàng_hoàng đừng ức_hiếp miền nam bắc không phân_biệt,1.0
513,tất miền Việt Nam anh em bh gồng chống bọn phân biệt vùng miền,2.0
514,parky parky không,1.0
515,bọn namky cay,1.0
516,cùg anh em phân_biệt,2.0
517,miền nam không sánh miền miền ta đất chiến_tranh biết bao_nhiêu xương_máu công_suất dũng_cảm,2.0
518,parky nhạy_cảm phết,1.0
519,parky,1.0
520,parky giải,1.0
521,parky,1.0
522,namki,1.0
523,pảkiki,1.0
524,việt_nam,2.0
525,việt_nam,2.0
526,việt_nam,2.0
527,việt_nam,2.0
528,việt_nam,2.0
0,cháu ghế_trường,0.0
1,vtv24 10 phản_ánh vụ chẳng giải_quyết được được góc vấn_đề khởi_chiến,0.0
2,bắc trung nam 1 người người kia việt_nam,2.0
3,dám phân_biệt trc mặt hong,0.0
4,be trà_trộn ly_gián hông vậy,0.0
5,pắc không thoi gì dau phân_biệt miền,1.0
6,ta hi_sinh 3 miền đất bây,2.0
7,thể quái 2 bọn bắc_nam,0.0
8,không miền bắc bình luận đấy,2.0
9,đồng_nghiệp phân_biệt miền ),0.0
10,người bắc thương lắm ☺ ️,2.0
11,keo kiệt với ngáo quyền_lực phuc vu sợ bắc,1.0
12,vô miền nam đi rùi biếc,0.0
13,chia_rẽ ta kêu chia_rẽ,0.0
14,chửi tui ngu tui lạ không gogle nghĩa,0.0
15,phạt đi xã hội loạn,2.0
16,đánh bắc chấp trung nam,0.0
17,toàn bọn nít,0.0
18,an 2,0.0
19,trẻ không suy vậy suy lỗi đất hi_sinh bắc trung nam đi,2.0
20,không bọn phân biệt vùng miền,0.0
21,packy lêu lêu,1.0
22,chờ mãi vtv tiếng,0.0
23,mày miền nam gọi paky ganh tị người miền bắc người miền bắc rộng nha,0.0
24,phân_biệt chán trẻ,2.0
25,vấn không phục được,2.0
26,hở chê miền tây kia hở chê gái miền tây miền nam kia người ta người ta rồi,1.0
27,parky,1.0
28,đố dám pbct bình_luận,0.0
29,tôi chả bjo đi ns phân_biệt bắc_nam mạng toàn nam packy buồn bạn nam ghen_tị đi xấu,0.0
30,miền bắc sống Thành phố Hồ Chí Minh được 6 nguyên giọng quê_hương không quan_tâm,0.0
31,tui đơn_giản tui mấy khứa bình luận kiểu tui next đỡ bực,2.0
32,học ngu không được 5 hồ dạy yêu tổ_quốc yêu đồng_bào,0.0
33,không bình luận pa ki nhể mấy cu nick ảo,0.0
34,jo bắc bắc_nam nam đi xong ai gì bọn mầy nửa,0.0
35,không phân_biệt miền nam miền trung đè miền bắc phân_biệt cấm xklđ cấm mấy tỉnh miền bắc,1.0
36,miền tây phân_biệt bao xã láng,0.0
37,nhưng mà miền bắc sống miền ghét cưới chồng người ta né miền bắc,1.0
38,hùng bàn_phím,0.0
39,miền xấu,2.0
40,vtv1 mày toi rồi,0.0
41,không chó tui không hùa,0.0
42,miền chả không,2.0
43,lũ phân biệt vùng miền,0.0
44,mong phạt phạt tiền mấy đứa mõm mạng đấy,2.0
45,chi tiktok keyword lock mấy đứa phân_biệt chủng_tộc tuyệt,2.0
46,xã_hội hư_hỏng hệ cấm đt c2 đi,0.0
47,đối tôi Việt Nam không không bắc trung nam,2.0
48,toàn nick clone toàn nít,0.0
49,chiến_tranh xảy 1 đánh giặc,0.0
50,xấu nhột ),1.0
51,toàn bắc tiếng ngưng nam tiếng hiệu,0.0
52,cảm_ơn vtv,0.0
53,bọn cali,1.0
55,( chúa_tể flop ☺ ️ ),0.0
56,kinh kinh phân_biệt raglay tụi kêu tộc tộc kia,1.0
57,tư_tưởng đấy kiểm,2.0
58,vtv24 nè mấy thằng phân biệt vùng miền lặn rồi,0.0
59,chán giới trẻ hiện_đại,0.0
60,án,0.0
61,phân_biệt miền,2.0
62,tui Thành phố Hồ Chí Minh chướng mắt tụi nít chấp lg miền nam cali hôi,0.0
63,cấm đỡ mệt,0.0
64,miền nam mạng toàn miền nam chửi miền bắc học lắm,0.0
65,nguy_hiểm không bắt kẻ,0.0
66,vô bảnh tỏn vô phân_biệt,0.0
67,hào miền đừng ta gọi sinh xấu_hổ,2.0
68,bắt đứa mắt,0.0
69,bắt đi,0.0
70,tiếng việt ta 1 quê_hương miền sống không vậy hoà_nhập,2.0
71,đề_nghị đăng_kí tài_khoản tiktok xác_minh cd không xác_thực được không được tiktok,0.0
72,phi văn_hoá,0.0
73,đấy toàn âm_mưu bọn chống_phá miền nam độc_lập không nô nệ,0.0
74,như thế này miền bắc thể miền nam thoải_mái miền nam bắc dân địa_phương hiếp không,1.0
75,bảo thức,1.0
76,vtv chuẩn đọc bình_luận vô ức_chế,0.0
77,mạng đời,0.0
78,miền trung không phan_biet,2.0
79,bắc nôm 2 văn_hoá,1.0
80,bao phân_biệt chạy taxi sài_gòn sợ chở bắc 1 cực,0.0
81,tiktok khoá bình luận,0.0
82,chặn tiktok Việt Nam được,0.0
83,ngưòi chê hoá nghệ_an không chê đấy,0.0
84,tao toàn gọi bắc cày,0.0
85,mk đa toàn người miền nam phân_biệt miền trk người miền bắc ns,1.0
86,miền bắc chả phân biệt vùng miền chẳng miền nam bắc miền bắc đối_xử phân biệt vùng miền hành_động miền bắc đấy phạt không,1.0
87,báo_cáo bình luận vậy tiktok không khoá đấy,0.0
88,tiktok khoá tài_khoản sử_dụng ngữ phân_biệt miền,2.0
89,không phân_biệt không bao bắc rơi_rớt bắc_nam,1.0
90,miên nam khinh_bỉ phân_biệt miền bắc_nam 1,2.0
91,bây yêu_cầu tảng cấm chat máy ngữ xong,0.0
92,mục_đích câu tim 9 +,0.0
93,tiếng mấy bữa lướt bình luận chia_rẽ đoàn_kết,2.0
94,vtv park bênh park,1.0
95,chửi kinh,0.0
96,1 2 khả_năng chiến_tranh,0.0
97,miền păk 1954 miền păk 1975 lắm,1.0
98,dân phân_biệt lẫn đất vịt_nôm đi,1.0
99,tôi miền tây cực miền trung cực phục người miền bắc hơiz,2.0
100,nhìu xử_lý vấn_đề gốc_rễ 50 vụ tồn,0.0
101,bọn phản_động kích_động đấy,0.0
102,miền trung không,0.0
